token,exchange_segment,trading_symbol,cp,strike,expiry_unix_ns,lot_size,tick_size
# DUMMY TOKENS ONLY. Generate the real front-expiry chain with scripts/prepare_instruments.py.
100001,nse_fo,NIFTY_EXP_24000CE,CE,24000,1787692200000000000,65,0.05
100002,nse_fo,NIFTY_EXP_24000PE,PE,24000,1787692200000000000,65,0.05
100003,nse_fo,NIFTY_EXP_24050CE,CE,24050,1787692200000000000,65,0.05
100004,nse_fo,NIFTY_EXP_24050PE,PE,24050,1787692200000000000,65,0.05
100005,nse_fo,NIFTY_EXP_24100CE,CE,24100,1787692200000000000,65,0.05
100006,nse_fo,NIFTY_EXP_24100PE,PE,24100,1787692200000000000,65,0.05
100007,nse_fo,NIFTY_EXP_24150CE,CE,24150,1787692200000000000,65,0.05
100008,nse_fo,NIFTY_EXP_24150PE,PE,24150,1787692200000000000,65,0.05
100009,nse_fo,NIFTY_EXP_24200CE,CE,24200,1787692200000000000,65,0.05
100010,nse_fo,NIFTY_EXP_24200PE,PE,24200,1787692200000000000,65,0.05
100011,nse_fo,NIFTY_EXP_24250CE,CE,24250,1787692200000000000,65,0.05
100012,nse_fo,NIFTY_EXP_24250PE,PE,24250,1787692200000000000,65,0.05
100013,nse_fo,NIFTY_EXP_24300CE,CE,24300,1787692200000000000,65,0.05
100014,nse_fo,NIFTY_EXP_24300PE,PE,24300,1787692200000000000,65,0.05
100015,nse_fo,NIFTY_EXP_24350CE,CE,24350,1787692200000000000,65,0.05
100016,nse_fo,NIFTY_EXP_24350PE,PE,24350,1787692200000000000,65,0.05
100017,nse_fo,NIFTY_EXP_24400CE,CE,24400,1787692200000000000,65,0.05
100018,nse_fo,NIFTY_EXP_24400PE,PE,24400,1787692200000000000,65,0.05
100019,nse_fo,NIFTY_EXP_24450CE,CE,24450,1787692200000000000,65,0.05
100020,nse_fo,NIFTY_EXP_24450PE,PE,24450,1787692200000000000,65,0.05
100021,nse_fo,NIFTY_EXP_24500CE,CE,24500,1787692200000000000,65,0.05
100022,nse_fo,NIFTY_EXP_24500PE,PE,24500,1787692200000000000,65,0.05
100023,nse_fo,NIFTY_EXP_24550CE,CE,24550,1787692200000000000,65,0.05
100024,nse_fo,NIFTY_EXP_24550PE,PE,24550,1787692200000000000,65,0.05
100025,nse_fo,NIFTY_EXP_24600CE,CE,24600,1787692200000000000,65,0.05
100026,nse_fo,NIFTY_EXP_24600PE,PE,24600,1787692200000000000,65,0.05
