cluster_id,family,fold_id,member_count,members,model_features,representation
cluster__057ded5ba3568a7f,book_liquidity,outer_01,1,"[""lob__order_count_imbalance_l1""]","[""cluster__057ded5ba3568a7f""]",representative
cluster__06ca194a0a433de6,ofi,outer_01,1,"[""ccz_ofi_w5__m5__average""]","[""cluster__06ca194a0a433de6""]",representative
cluster__09e103f2030ca53e,surface_quality,outer_01,1,"[""quality__packets_per_second""]","[""cluster__09e103f2030ca53e""]",representative
cluster__0ddaa772748cd2a8,ofi,outer_01,1,"[""ccz_ofi_w10__m5__average""]","[""cluster__0ddaa772748cd2a8""]",representative
cluster__11a9adfe78800106,time_regime,outer_01,3,"[""regime__minutes_from_open"", ""regime__minutes_to_close"", ""regime__session_phase_cos""]","[""cluster__11a9adfe78800106""]",representative
cluster__189d1a90a1a742dc,surface_quality,outer_01,1,"[""quality__surface_is_stale""]","[""cluster__189d1a90a1a742dc""]",representative
cluster__1a13286f866c4155,ofi,outer_01,1,"[""ccz_ofi_w30__m5__average""]","[""cluster__1a13286f866c4155""]",representative
cluster__1ce77120fa004169,book_liquidity,outer_01,1,"[""lob__order_count_imbalance_l3""]","[""cluster__1ce77120fa004169""]",representative
cluster__1e0e01b9fe15ec55,ofi,outer_01,1,"[""ofi__w30__average_m20_minus_m200""]","[""cluster__1e0e01b9fe15ec55""]",representative
cluster__1e968c8901c575db,ofi,outer_01,2,"[""ccz_ofi_w0p5__m100__average"", ""ccz_ofi_w0p5__m200__average""]","[""cluster__1e968c8901c575db""]",representative
cluster__1f48220de6e92f9d,book_liquidity,outer_01,1,"[""lob__average_order_size_log_ratio_proxy_5""]","[""cluster__1f48220de6e92f9d""]",representative
cluster__20fb49f3528f30d2,price_path,outer_01,1,"[""price__displayed_mid_return_lag_1s_ticks""]","[""cluster__20fb49f3528f30d2""]",representative
cluster__23a7d3b95c5e30ff,time_regime,outer_01,1,"[""regime__abs_lag_return_10s_per_sqrt_second""]","[""cluster__23a7d3b95c5e30ff""]",representative
cluster__26090851fa96f8cf,ofi,outer_01,1,"[""ccz_ofi_w30__m100__average""]","[""cluster__26090851fa96f8cf""]",representative
cluster__26ad2c75d43d49ad,ofi,outer_01,2,"[""ccz_ofi_w10__m20__average"", ""ccz_ofi_w10__m50__average""]","[""cluster__26ad2c75d43d49ad""]",representative
cluster__29963467135cd4cd,ofi,outer_01,1,"[""ccz_ofi_w2__m10__average""]","[""cluster__29963467135cd4cd""]",representative
cluster__2d7a1c0d880f88ee,ofi,outer_01,1,"[""ofi__w30__average_m5_minus_m20""]","[""cluster__2d7a1c0d880f88ee""]",representative
cluster__2e6f29d20733c126,ofi,outer_01,1,"[""ccz_ofi_w0p5__m5__average""]","[""cluster__2e6f29d20733c126""]",representative
cluster__2f6f9b66bf9da773,ofi,outer_01,1,"[""ccz_ofi_w2__m1__average""]","[""cluster__2f6f9b66bf9da773""]",representative
cluster__2f97bd40c280c05c,ofi,outer_01,1,"[""ccz_ofi_w1__m5__average""]","[""cluster__2f97bd40c280c05c""]",representative
cluster__394bc857d8fc4a57,book_liquidity,outer_01,1,"[""lob__order_count_imbalance_l5""]","[""cluster__394bc857d8fc4a57""]",representative
cluster__3a128293ed568dc0,book_liquidity,outer_01,1,"[""lob__bid_average_order_size_proxy_5""]","[""cluster__3a128293ed568dc0""]",representative
cluster__3b5a3dfcf12b13e5,surface_quality,outer_01,1,"[""quality__weighted_rmse_total_variance""]","[""cluster__3b5a3dfcf12b13e5""]",representative
cluster__3c67dd0616449c2d,price_path,outer_01,1,"[""price__displayed_mid_return_lag_30s_ticks""]","[""cluster__3c67dd0616449c2d""]",representative
cluster__3cf051d5429a5851,ofi,outer_01,2,"[""ccz_ofi_w2__m100__average"", ""ccz_ofi_w2__m200__average""]","[""cluster__3cf051d5429a5851""]",representative
cluster__3e5336b9c24613b3,ofi,outer_01,1,"[""ccz_ofi_w2__m5__average""]","[""cluster__3e5336b9c24613b3""]",representative
cluster__421a4a1c5073e265,ofi,outer_01,1,"[""ofi__w2__average_m20_minus_m200""]","[""cluster__421a4a1c5073e265""]",representative
