cluster_count,correlation,directional_accuracy,feature_count,fold_id,mae,model_id,model_kind,mse,oos_r2_vs_training_mean,oos_r2_vs_zero,selected_config,test_rows,training_rows,validation_rows
88,,0.3001412429378531,88,outer_01,10.804378531074432,zero_return,zero_return_baseline,448.28742937854315,-0.001548655746824501,0.0,{},1416,2712,542
88,-3.035950691475662e-17,0.3714689265536723,88,outer_01,11.020966660001314,training_mean,training_mean_baseline,447.59425995561725,0.0,0.0015462611206539245,{},1416,2712,542
88,0.07513785895456508,0.3728813559322034,88,outer_01,15.505971727497041,simple_state,state_linear_baseline,528.7759695926144,-0.18137343773141112,-0.17954672591567378,"{""ridge_penalty"": 1e-06}",1416,2712,542
88,0.21160363110827585,0.423728813559322,88,outer_01,11.8975513139972,elastic_net__a1__l10.9,elastic_net,439.678637356474,0.017684817048208235,0.019203732823834585,"{""alpha"": 1.0, ""l1_ratio"": 0.9}",1416,2712,542
88,0.1857189828247764,0.3735875706214689,88,outer_01,12.121675089253657,boosted_tree__d3__l8__lr0.05__n50__stop35,shallow_gradient_boosting,452.76651165438574,-0.01155567030569471,-0.009991541101324053,"{""early_stopping_patience"": 10, ""learning_rate"": 0.05, ""maximum_depth"": 3, ""maximum_estimators"": 35, ""maximum_leaves"": 8, ""minimum_leaf_size"": 50, ""threshold_candidates"": 15}",1416,2712,542
88,,0.18220338983050846,88,outer_02,11.326977401128309,zero_return,zero_return_baseline,326.8439265536831,0.007881778241931703,0.0,{},1416,4129,825
88,3.958859887967725e-17,0.3919491525423729,88,outer_02,11.465881227310183,training_mean,training_mean_baseline,329.4405035465473,0.0,-0.007944394195245064,{},1416,4129,825
88,0.12449266270419176,0.4279661016949153,88,outer_02,11.666805629099782,simple_state,state_linear_baseline,323.4123890462716,0.018298036930434636,0.010499009553564087,"{""ridge_penalty"": 1e-06}",1416,4129,825
88,0.2365589167158879,0.4435028248587571,88,outer_02,11.912538976799064,elastic_net__a1__l11,elastic_net,317.06819118878116,0.03755552891819225,0.02990949064888415,"{""alpha"": 1.0, ""l1_ratio"": 1.0}",1416,4129,825
88,0.19841947383163266,0.4463276836158192,88,outer_02,11.648714978502731,boosted_tree__d2__l4__lr0.05__n50__stop24,shallow_gradient_boosting,317.02453739034246,0.037688037817276254,0.030043052250896873,"{""early_stopping_patience"": 10, ""learning_rate"": 0.05, ""maximum_depth"": 2, ""maximum_estimators"": 24, ""maximum_leaves"": 4, ""minimum_leaf_size"": 50, ""threshold_candidates"": 15}",1416,4129,825
90,,0.10930888575458392,90,outer_03,8.503526093088826,zero_return,zero_return_baseline,155.34414668547223,0.0006670103772263847,0.0,{},1418,5544,1108
90,-8.04299915398676e-19,0.4414668547249647,90,outer_03,8.520123153762057,training_mean,training_mean_baseline,155.44783200253528,0.0,-0.0006674555770227464,{},1418,5544,1108
90,0.11516237090791885,0.45839210155148097,90,outer_03,9.281772642348061,simple_state,state_linear_baseline,167.67233398690894,-0.07864054343436777,-0.07936048808068574,"{""ridge_penalty"": 1e-06}",1418,5544,1108
90,0.17737880579005777,0.502820874471086,90,outer_03,8.583989338337808,elastic_net__a1__l10.5,elastic_net,150.8744957557243,0.029420392603072054,0.02877257383117049,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",1418,5544,1108
90,0.07553655251415134,0.4421720733427362,90,outer_03,9.010051106863022,boosted_tree__d3__l8__lr0.05__n25__stop24,shallow_gradient_boosting,162.77016261783953,-0.04710474582356872,-0.047803641725895574,"{""early_stopping_patience"": 10, ""learning_rate"": 0.05, ""maximum_depth"": 3, ""maximum_estimators"": 24, ""maximum_leaves"": 8, ""minimum_leaf_size"": 25, ""threshold_candidates"": 15}",1418,5544,1108
