base_plus_handcrafted_latent_skill,base_plus_handcrafted_skill,base_plus_latent_skill,base_plus_pca_latent_skill,base_plus_pca_skill,base_skill,block_rows,block_seconds,ci_high,ci_low,correction_event_frequencies,diagnostic,draws,feature,increment_beyond_handcrafted,increment_beyond_pca,large_event_samples,large_threshold,mapping_alpha,mean_forward_change_large,mean_source_progress_large,mean_target_progress_large,paired_intervals,quintile_monotonic,quintile_samples,quintile_target_means,samples,seed,source_subsystem,spearman,target,target_subsystem
,,,,,,12,60,0.05474587882043104,-0.07424744582216744,"{""not_large"":2277,""source_led_correction"":33,""persistent_disagreement"":8,""both_correct"":23,""target_led_correction"":1}",diagnostic_1,500,call_to_put_disequilibrium,,,65,7.273935022179557,100.0,-0.41988066342582164,-0.05584953764020563,0.321148548303819,,False,"[0,0,926,1351,65]","[null,null,1.5147837214815565e-06,2.805065524955311e-07,9.156143865906276e-06]",2342,1,call,-0.006718476229582387,call_relative_move,put
,,,,,,24,120,0.05433138114504238,-0.07440648124041059,"{""not_large"":2277,""source_led_correction"":33,""persistent_disagreement"":8,""both_correct"":23,""target_led_correction"":1}",diagnostic_1,500,call_to_put_disequilibrium,,,65,7.273935022179557,100.0,-0.41988066342582164,-0.05584953764020563,0.321148548303819,,False,"[0,0,926,1351,65]","[null,null,1.5147837214815565e-06,2.805065524955311e-07,9.156143865906276e-06]",2342,1,call,-0.006718476229582387,call_relative_move,put
,,,,,,60,300,0.062306200723200755,-0.06279009232946231,"{""not_large"":2277,""source_led_correction"":33,""persistent_disagreement"":8,""both_correct"":23,""target_led_correction"":1}",diagnostic_1,500,call_to_put_disequilibrium,,,65,7.273935022179557,100.0,-0.41988066342582164,-0.05584953764020563,0.321148548303819,,False,"[0,0,926,1351,65]","[null,null,1.5147837214815565e-06,2.805065524955311e-07,9.156143865906276e-06]",2342,1,call,-0.006718476229582387,call_relative_move,put
,,,,,,12,60,0.08320851398649613,-0.04173480891228594,"{""not_large"":2277,""source_led_correction"":33,""persistent_disagreement"":8,""both_correct"":23,""target_led_correction"":1}",diagnostic_1,500,call_to_put_disequilibrium,,,65,7.273935022179557,100.0,-0.41988066342582164,-0.05584953764020563,0.321148548303819,,False,"[0,0,926,1351,65]","[null,null,-3.6167856869056466e-06,-2.006344051878599e-06,-9.751266155105371e-06]",2342,1,call,0.014594630091867001,put_relative_move,put
,,,,,,24,120,0.08128522265705584,-0.04409195172303398,"{""not_large"":2277,""source_led_correction"":33,""persistent_disagreement"":8,""both_correct"":23,""target_led_correction"":1}",diagnostic_1,500,call_to_put_disequilibrium,,,65,7.273935022179557,100.0,-0.41988066342582164,-0.05584953764020563,0.321148548303819,,False,"[0,0,926,1351,65]","[null,null,-3.6167856869056466e-06,-2.006344051878599e-06,-9.751266155105371e-06]",2342,1,call,0.014594630091867001,put_relative_move,put
,,,,,,60,300,0.07840700670109474,-0.0566940232497993,"{""not_large"":2277,""source_led_correction"":33,""persistent_disagreement"":8,""both_correct"":23,""target_led_correction"":1}",diagnostic_1,500,call_to_put_disequilibrium,,,65,7.273935022179557,100.0,-0.41988066342582164,-0.05584953764020563,0.321148548303819,,False,"[0,0,926,1351,65]","[null,null,-3.6167856869056466e-06,-2.006344051878599e-06,-9.751266155105371e-06]",2342,1,call,0.014594630091867001,put_relative_move,put
,,,,,,12,60,0.10430445238910813,-0.0367241591514103,"{""not_large"":2277,""source_led_correction"":33,""persistent_disagreement"":8,""both_correct"":23,""target_led_correction"":1}",diagnostic_1,500,call_to_put_disequilibrium,,,65,7.273935022179557,100.0,-0.41988066342582164,-0.05584953764020563,0.321148548303819,,False,"[0,0,926,1351,65]","[null,null,9.853580926864792e-05,0.00010757334780245798,0.00010878869977134924]",2342,1,call,0.03143990766500969,call_put_relative_correction,put
,,,,,,24,120,0.11088095491500526,-0.030789307434775155,"{""not_large"":2277,""source_led_correction"":33,""persistent_disagreement"":8,""both_correct"":23,""target_led_correction"":1}",diagnostic_1,500,call_to_put_disequilibrium,,,65,7.273935022179557,100.0,-0.41988066342582164,-0.05584953764020563,0.321148548303819,,False,"[0,0,926,1351,65]","[null,null,9.853580926864792e-05,0.00010757334780245798,0.00010878869977134924]",2342,1,call,0.03143990766500969,call_put_relative_correction,put
,,,,,,60,300,0.12219194250281491,-0.022220564091399914,"{""not_large"":2277,""source_led_correction"":33,""persistent_disagreement"":8,""both_correct"":23,""target_led_correction"":1}",diagnostic_1,500,call_to_put_disequilibrium,,,65,7.273935022179557,100.0,-0.41988066342582164,-0.05584953764020563,0.321148548303819,,False,"[0,0,926,1351,65]","[null,null,9.853580926864792e-05,0.00010757334780245798,0.00010878869977134924]",2342,1,call,0.03143990766500969,call_put_relative_correction,put
,,,,,,12,60,0.03995885273570443,-0.03891422599171211,"{""not_large"":2277,""source_led_correction"":33,""persistent_disagreement"":8,""both_correct"":23,""target_led_correction"":1}",diagnostic_1,500,call_to_put_disequilibrium,,,65,7.273935022179557,100.0,-0.41988066342582164,-0.05584953764020563,0.321148548303819,,False,"[0,0,926,1351,65]","[null,null,-2.7045366187332516e-06,-1.3266180639881103e-05,-1.0516781073350172e-05]",2342,1,call,0.002626447379589749,signed_atm_iv_change,put
