base_plus_handcrafted_latent_skill,base_plus_handcrafted_skill,base_plus_latent_skill,base_plus_pca_latent_skill,base_plus_pca_skill,base_skill,block_rows,block_seconds,ci_high,ci_low,correction_event_frequencies,diagnostic,draws,feature,increment_beyond_handcrafted,increment_beyond_pca,large_event_samples,large_threshold,mapping_alpha,mean_forward_change_large,mean_source_progress_large,mean_target_progress_large,paired_intervals,quintile_monotonic,quintile_samples,quintile_target_means,samples,seed,source_subsystem,spearman,target,target_subsystem
,,,,,,12,60,-0.006373183823995813,-0.147416814699843,"{""not_large"":1464,""both_correct"":209,""target_led_correction"":179,""persistent_disagreement"":283,""source_led_correction"":207}",diagnostic_1,500,futures_to_options_disequilibrium,,,878,8.590440270630435,100.0,-0.7746985682009051,-0.026816965867482112,0.02385412955332136,,False,"[0,58,775,631,878]","[null,-1.2677291343952047e-05,7.309452179939516e-06,2.218690802669374e-06,-1.5240323842250675e-05]",2342,1,futures,-0.07738556673779938,signed_futures_return,options
,,,,,,24,120,-0.0033463447314195545,-0.14703513165171248,"{""not_large"":1464,""both_correct"":209,""target_led_correction"":179,""persistent_disagreement"":283,""source_led_correction"":207}",diagnostic_1,500,futures_to_options_disequilibrium,,,878,8.590440270630435,100.0,-0.7746985682009051,-0.026816965867482112,0.02385412955332136,,False,"[0,58,775,631,878]","[null,-1.2677291343952047e-05,7.309452179939516e-06,2.218690802669374e-06,-1.5240323842250675e-05]",2342,1,futures,-0.07738556673779938,signed_futures_return,options
,,,,,,60,300,0.0014770713268812152,-0.1502877391451214,"{""not_large"":1464,""both_correct"":209,""target_led_correction"":179,""persistent_disagreement"":283,""source_led_correction"":207}",diagnostic_1,500,futures_to_options_disequilibrium,,,878,8.590440270630435,100.0,-0.7746985682009051,-0.026816965867482112,0.02385412955332136,,False,"[0,58,775,631,878]","[null,-1.2677291343952047e-05,7.309452179939516e-06,2.218690802669374e-06,-1.5240323842250675e-05]",2342,1,futures,-0.07738556673779938,signed_futures_return,options
,,,,,,12,60,-0.006192631959775173,-0.09170990421929828,"{""not_large"":1464,""both_correct"":209,""target_led_correction"":179,""persistent_disagreement"":283,""source_led_correction"":207}",diagnostic_1,500,futures_to_options_disequilibrium,,,878,8.590440270630435,100.0,-0.7746985682009051,-0.026816965867482112,0.02385412955332136,,False,"[0,58,775,631,878]","[null,-0.002326513544238847,0.0004946274430521072,0.00022715507237544718,-0.0004702094933845459]",2342,1,futures,-0.054417315731930135,signed_atm_iv_change,options
,,,,,,24,120,-0.013445702308657659,-0.09334284762024894,"{""not_large"":1464,""both_correct"":209,""target_led_correction"":179,""persistent_disagreement"":283,""source_led_correction"":207}",diagnostic_1,500,futures_to_options_disequilibrium,,,878,8.590440270630435,100.0,-0.7746985682009051,-0.026816965867482112,0.02385412955332136,,False,"[0,58,775,631,878]","[null,-0.002326513544238847,0.0004946274430521072,0.00022715507237544718,-0.0004702094933845459]",2342,1,futures,-0.054417315731930135,signed_atm_iv_change,options
,,,,,,60,300,-0.01269905341221034,-0.08443383587686903,"{""not_large"":1464,""both_correct"":209,""target_led_correction"":179,""persistent_disagreement"":283,""source_led_correction"":207}",diagnostic_1,500,futures_to_options_disequilibrium,,,878,8.590440270630435,100.0,-0.7746985682009051,-0.026816965867482112,0.02385412955332136,,False,"[0,58,775,631,878]","[null,-0.002326513544238847,0.0004946274430521072,0.00022715507237544718,-0.0004702094933845459]",2342,1,futures,-0.054417315731930135,signed_atm_iv_change,options
,,,,,,12,60,0.13258375799553687,0.049523958662304975,"{""not_large"":1464,""both_correct"":209,""target_led_correction"":179,""persistent_disagreement"":283,""source_led_correction"":207}",diagnostic_1,500,futures_to_options_disequilibrium,,,878,8.590440270630435,100.0,-0.7746985682009051,-0.026816965867482112,0.02385412955332136,,False,"[0,58,775,631,878]","[null,0.04359209887990807,0.041498217337962114,0.04321445284997387,0.046188816077784745]",2342,1,futures,0.09203174132374939,surface_displacement,options
,,,,,,24,120,0.13498814071593115,0.05025751193686806,"{""not_large"":1464,""both_correct"":209,""target_led_correction"":179,""persistent_disagreement"":283,""source_led_correction"":207}",diagnostic_1,500,futures_to_options_disequilibrium,,,878,8.590440270630435,100.0,-0.7746985682009051,-0.026816965867482112,0.02385412955332136,,False,"[0,58,775,631,878]","[null,0.04359209887990807,0.041498217337962114,0.04321445284997387,0.046188816077784745]",2342,1,futures,0.09203174132374939,surface_displacement,options
,,,,,,60,300,0.12417844409357183,0.0416617908978132,"{""not_large"":1464,""both_correct"":209,""target_led_correction"":179,""persistent_disagreement"":283,""source_led_correction"":207}",diagnostic_1,500,futures_to_options_disequilibrium,,,878,8.590440270630435,100.0,-0.7746985682009051,-0.026816965867482112,0.02385412955332136,,False,"[0,58,775,631,878]","[null,0.04359209887990807,0.041498217337962114,0.04321445284997387,0.046188816077784745]",2342,1,futures,0.09203174132374939,surface_displacement,options
,,,,,,12,60,0.12095024381291576,-0.00734374156349571,"{""not_large"":1464,""both_correct"":209,""target_led_correction"":179,""persistent_disagreement"":283,""source_led_correction"":207}",diagnostic_1,500,futures_to_options_disequilibrium,,,878,8.590440270630435,100.0,-0.7746985682009051,-0.026816965867482112,0.02385412955332136,,False,"[0,58,775,631,878]","[null,2.771164245445859e-06,-2.1980770038827624e-06,5.295121927658744e-07,2.340914189788605e-06]",2342,1,futures,0.062223135831486094,parity_restoration,options
