base_plus_metric_skill,base_plus_pca_metric_skill,base_plus_velocity_metric_skill,base_plus_velocity_skill,base_skill,block_rows,block_seconds,ci_high,ci_low,diagnostic,draws,feature,increment_beyond_velocity,paired_increment_beyond_velocity,paired_intervals,quintile_monotonic,quintile_samples,quintile_target_means,samples,seed,spearman,target
,,,,,12,60,0.23185803538982414,0.14849393280293288,diagnostic_1,500,velocity_5s,,,,False,"[715,1571,56,0,0]","[0.039924781087487364,0.04521015025311828,0.05250349841752761,null,null]",2342,1,0.19058633296678984,surface_displacement
,,,,,24,120,0.24143136664420412,0.1496996856674914,diagnostic_1,500,velocity_5s,,,,False,"[715,1571,56,0,0]","[0.039924781087487364,0.04521015025311828,0.05250349841752761,null,null]",2342,1,0.19058633296678984,surface_displacement
,,,,,60,300,0.24190723556170565,0.14718438106991355,diagnostic_1,500,velocity_5s,,,,False,"[715,1571,56,0,0]","[0.039924781087487364,0.04521015025311828,0.05250349841752761,null,null]",2342,1,0.19058633296678984,surface_displacement
,,,,,12,60,0.16119189668980013,0.0825458343843492,diagnostic_1,500,velocity_5s,,,,False,"[715,1571,56,0,0]","[0.004102964761790695,0.004691540502500261,0.00631919556430408,null,null]",2342,1,0.1204891914361059,absolute_atm_iv_change
,,,,,24,120,0.16435256556426467,0.08186870532267794,diagnostic_1,500,velocity_5s,,,,False,"[715,1571,56,0,0]","[0.004102964761790695,0.004691540502500261,0.00631919556430408,null,null]",2342,1,0.1204891914361059,absolute_atm_iv_change
,,,,,60,300,0.16279315692858592,0.08487848410135727,diagnostic_1,500,velocity_5s,,,,False,"[715,1571,56,0,0]","[0.004102964761790695,0.004691540502500261,0.00631919556430408,null,null]",2342,1,0.1204891914361059,absolute_atm_iv_change
,,,,,12,60,0.12675016719233115,-0.010426863504875919,diagnostic_1,500,velocity_5s,,,,False,"[715,1571,56,0,0]","[0.00010849565638248227,0.00011621044427336206,0.00012396812717419995,null,null]",2342,1,0.0522365046317532,realized_futures_volatility
,,,,,24,120,0.1232403278878485,-0.009255057589298881,diagnostic_1,500,velocity_5s,,,,False,"[715,1571,56,0,0]","[0.00010849565638248227,0.00011621044427336206,0.00012396812717419995,null,null]",2342,1,0.0522365046317532,realized_futures_volatility
,,,,,60,300,0.12987414752738202,-0.005234832657809894,diagnostic_1,500,velocity_5s,,,,False,"[715,1571,56,0,0]","[0.00010849565638248227,0.00011621044427336206,0.00012396812717419995,null,null]",2342,1,0.0522365046317532,realized_futures_volatility
,,,,,12,60,0.13503483332518457,0.01413556419789774,diagnostic_1,500,velocity_5s,,,,False,"[715,1571,56,0,0]","[7.933503264313811e-05,8.87633432331243e-05,0.00011592251913888114,null,null]",2342,1,0.07189014941524327,absolute_futures_return
,,,,,24,120,0.13146839732628626,0.018826726928457452,diagnostic_1,500,velocity_5s,,,,False,"[715,1571,56,0,0]","[7.933503264313811e-05,8.87633432331243e-05,0.00011592251913888114,null,null]",2342,1,0.07189014941524327,absolute_futures_return
,,,,,60,300,0.14053828920350278,0.021144945085704435,diagnostic_1,500,velocity_5s,,,,False,"[715,1571,56,0,0]","[7.933503264313811e-05,8.87633432331243e-05,0.00011592251913888114,null,null]",2342,1,0.07189014941524327,absolute_futures_return
,,,,,12,60,0.09829176566201253,0.023226644151307207,diagnostic_1,500,velocity_5s,,,,False,"[715,1571,56,0,0]","[-3.721648839406565e-05,1.2593413306694219e-05,4.6865124594270515e-05,null,null]",2342,1,0.06185336966993247,near_atm_spread_change
,,,,,24,120,0.10223900524837858,0.022248159915962157,diagnostic_1,500,velocity_5s,,,,False,"[715,1571,56,0,0]","[-3.721648839406565e-05,1.2593413306694219e-05,4.6865124594270515e-05,null,null]",2342,1,0.06185336966993247,near_atm_spread_change
,,,,,60,300,0.1035984683437173,0.019402705187262198,diagnostic_1,500,velocity_5s,,,,False,"[715,1571,56,0,0]","[-3.721648839406565e-05,1.2593413306694219e-05,4.6865124594270515e-05,null,null]",2342,1,0.06185336966993247,near_atm_spread_change
,,,,,12,60,0.0427772097772474,-0.05905303429018155,diagnostic_1,500,velocity_5s,,,,False,"[715,1571,56,0,0]","[4.5376722993967416e-05,4.6589976754027666e-05,4.862623089658362e-05,null,null]",2342,1,-0.006387000809714035,absolute_atm_straddle_change
,,,,,24,120,0.044385467075913,-0.06380747996371658,diagnostic_1,500,velocity_5s,,,,False,"[715,1571,56,0,0]","[4.5376722993967416e-05,4.6589976754027666e-05,4.862623089658362e-05,null,null]",2342,1,-0.006387000809714035,absolute_atm_straddle_change
,,,,,60,300,0.045086906674840235,-0.05647059141905802,diagnostic_1,500,velocity_5s,,,,False,"[715,1571,56,0,0]","[4.5376722993967416e-05,4.6589976754027666e-05,4.862623089658362e-05,null,null]",2342,1,-0.006387000809714035,absolute_atm_straddle_change
,,,,,12,60,0.08495323995934896,-0.01653119381715639,diagnostic_1,500,velocity_5s,,,,False,"[715,1571,56,0,0]","[-5.968771089813542e-07,6.512539612155934e-07,4.469818934792004e-06,null,null]",2342,1,0.03263391470248762,parity_restoration
,,,,,24,120,0.07982936869831267,-0.01660012804265051,diagnostic_1,500,velocity_5s,,,,False,"[715,1571,56,0,0]","[-5.968771089813542e-07,6.512539612155934e-07,4.469818934792004e-06,null,null]",2342,1,0.03263391470248762,parity_restoration
,,,,,60,300,0.07962734366547514,-0.006067763175741034,diagnostic_1,500,velocity_5s,,,,False,"[715,1571,56,0,0]","[-5.968771089813542e-07,6.512539612155934e-07,4.469818934792004e-06,null,null]",2342,1,0.03263391470248762,parity_restoration
,,,,,12,60,0.18663372186123656,0.10533315641074703,diagnostic_1,500,acceleration_5s,,,,False,"[700,1601,41,0,0]","[0.04000903968731565,0.045566550687832344,0.03788256107910422,null,null]",2342,1,0.1445408669902691,surface_displacement
,,,,,24,120,0.19545915509003806,0.10030490330820045,diagnostic_1,500,acceleration_5s,,,,False,"[700,1601,41,0,0]","[0.04000903968731565,0.045566550687832344,0.03788256107910422,null,null]",2342,1,0.1445408669902691,surface_displacement
,,,,,60,300,0.19477836646782903,0.0959155966493286,diagnostic_1,500,acceleration_5s,,,,False,"[700,1601,41,0,0]","[0.04000903968731565,0.045566550687832344,0.03788256107910422,null,null]",2342,1,0.1445408669902691,surface_displacement
,,,,,12,60,0.11387081362848717,0.031819707676561594,diagnostic_1,500,acceleration_5s,,,,False,"[700,1601,41,0,0]","[0.004255224817565509,0.004710664052392899,0.0033530333056682494,null,null]",2342,1,0.07045349419695257,absolute_atm_iv_change
,,,,,24,120,0.11535596793099503,0.02894398866316174,diagnostic_1,500,acceleration_5s,,,,False,"[700,1601,41,0,0]","[0.004255224817565509,0.004710664052392899,0.0033530333056682494,null,null]",2342,1,0.07045349419695257,absolute_atm_iv_change
,,,,,60,300,0.11342717058025058,0.030756747218427895,diagnostic_1,500,acceleration_5s,,,,False,"[700,1601,41,0,0]","[0.004255224817565509,0.004710664052392899,0.0033530333056682494,null,null]",2342,1,0.07045349419695257,absolute_atm_iv_change
,,,,,12,60,0.10589667624404707,-0.03194866968303309,diagnostic_1,500,acceleration_5s,,,,False,"[700,1601,41,0,0]","[0.00011022178055161587,0.00011582070558481909,0.00010973222832330187,null,null]",2342,1,0.034282529490353375,realized_futures_volatility
,,,,,24,120,0.1148232810725371,-0.03465976215648239,diagnostic_1,500,acceleration_5s,,,,False,"[700,1601,41,0,0]","[0.00011022178055161587,0.00011582070558481909,0.00010973222832330187,null,null]",2342,1,0.034282529490353375,realized_futures_volatility
,,,,,60,300,0.12282755494041538,-0.027797045336811314,diagnostic_1,500,acceleration_5s,,,,False,"[700,1601,41,0,0]","[0.00011022178055161587,0.00011582070558481909,0.00010973222832330187,null,null]",2342,1,0.034282529490353375,realized_futures_volatility
,,,,,12,60,0.11085091357099172,-0.020717474697135103,diagnostic_1,500,acceleration_5s,,,,False,"[700,1601,41,0,0]","[7.97625950404576e-05,8.940056366595829e-05,9.02268944717035e-05,null,null]",2342,1,0.041718425197134944,absolute_futures_return
,,,,,24,120,0.10866990469166808,-0.016504810484952583,diagnostic_1,500,acceleration_5s,,,,False,"[700,1601,41,0,0]","[7.97625950404576e-05,8.940056366595829e-05,9.02268944717035e-05,null,null]",2342,1,0.041718425197134944,absolute_futures_return
,,,,,60,300,0.11295261760530788,-0.01216193354326097,diagnostic_1,500,acceleration_5s,,,,False,"[700,1601,41,0,0]","[7.97625950404576e-05,8.940056366595829e-05,9.02268944717035e-05,null,null]",2342,1,0.041718425197134944,absolute_futures_return
,,,,,12,60,0.08299071567925699,0.0033030124721251247,diagnostic_1,500,acceleration_5s,,,,False,"[700,1601,41,0,0]","[-3.399468363828159e-05,1.3914684315522125e-05,-6.542002346378001e-05,null,null]",2342,1,0.04250744320470185,near_atm_spread_change
,,,,,24,120,0.08322760276332981,0.004185079483969987,diagnostic_1,500,acceleration_5s,,,,False,"[700,1601,41,0,0]","[-3.399468363828159e-05,1.3914684315522125e-05,-6.542002346378001e-05,null,null]",2342,1,0.04250744320470185,near_atm_spread_change
