base_plus_pca_skill,base_plus_pca_uncertainty_skill,base_plus_surprise_velocity_skill,base_plus_surprise_velocity_uncertainty_skill,base_plus_uncertainty_skill,base_skill,block_rows,block_seconds,ci_high,ci_low,diagnostic,draws,feature,increment_beyond_surprise_velocity,paired_intervals,quintile_monotonic,quintile_samples,quintile_target_means,samples,seed,spearman,target
,,,,,,12,60,0.14364367658170443,0.05135252107793404,diagnostic_1,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.043770948094186087]",2342,0,0.0987652178016112,surface_displacement
,,,,,,24,120,0.15021798398885386,0.05051749729606074,diagnostic_1,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.043770948094186087]",2342,0,0.0987652178016112,surface_displacement
,,,,,,60,300,0.14717352204557801,0.04540029079105673,diagnostic_1,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.043770948094186087]",2342,0,0.0987652178016112,surface_displacement
,,,,,,12,60,0.08000807507426747,-0.004900359029444022,diagnostic_1,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.0045507706599954255]",2342,0,0.03593727636387179,absolute_atm_iv_change
,,,,,,24,120,0.08919140781299563,-0.004709116375407902,diagnostic_1,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.0045507706599954255]",2342,0,0.03593727636387179,absolute_atm_iv_change
,,,,,,60,300,0.08818212070840693,-0.0064950529812772785,diagnostic_1,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.0045507706599954255]",2342,0,0.03593727636387179,absolute_atm_iv_change
,,,,,,12,60,0.13790428550747438,-0.0480700555015131,diagnostic_1,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.00011404065644264808]",2342,0,0.03432670212049132,realized_futures_volatility
,,,,,,24,120,0.14590462592170617,-0.05590494886248922,diagnostic_1,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.00011404065644264808]",2342,0,0.03432670212049132,realized_futures_volatility
,,,,,,60,300,0.16147252668681927,-0.04328684419018637,diagnostic_1,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.00011404065644264808]",2342,0,0.03432670212049132,realized_futures_volatility
,,,,,,12,60,0.05644365585187189,-0.0773322968822614,diagnostic_1,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,2342]","[null,null,null,null,8.653433886885542e-05]",2342,0,-0.015852250457044924,absolute_futures_return
,,,,,,24,120,0.06922123457585116,-0.08214828117807904,diagnostic_1,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,2342]","[null,null,null,null,8.653433886885542e-05]",2342,0,-0.015852250457044924,absolute_futures_return
,,,,,,60,300,0.08177224591349927,-0.07287076843334511,diagnostic_1,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,2342]","[null,null,null,null,8.653433886885542e-05]",2342,0,-0.015852250457044924,absolute_futures_return
,,,,,,12,60,0.03786558234568614,-0.03763312058686232,diagnostic_1,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,2342]","[null,null,null,null,-1.7938044063455045e-06]",2342,0,0.0010855946752630216,near_atm_spread_change
,,,,,,24,120,0.025708787386182826,-0.033749297012222,diagnostic_1,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,2342]","[null,null,null,null,-1.7938044063455045e-06]",2342,0,0.0010855946752630216,near_atm_spread_change
,,,,,,60,300,0.015826346770254445,-0.022609354904750606,diagnostic_1,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,2342]","[null,null,null,null,-1.7938044063455045e-06]",2342,0,0.0010855946752630216,near_atm_spread_change
,,,,,,12,60,-0.1204544736385929,-0.2631584227636154,diagnostic_1,500,aligned_cross_seed_uncertainty_5s,,,False,"[0,0,0,0,2342]","[null,null,null,null,4.62682661620294e-05]",2342,0,-0.1945771640342547,absolute_atm_straddle_change
