base_plus_handcrafted_latent_skill,base_plus_handcrafted_skill,base_plus_latent_skill,base_plus_pca_latent_skill,base_plus_pca_skill,base_skill,block_rows,block_seconds,ci_high,ci_low,correction_event_frequencies,diagnostic,draws,feature,increment_beyond_handcrafted,increment_beyond_pca,large_event_samples,large_threshold,mapping_alpha,mean_forward_change_large,mean_source_progress_large,mean_target_progress_large,paired_intervals,quintile_monotonic,quintile_samples,quintile_target_means,samples,seed,source_subsystem,spearman,target,target_subsystem
,,,,,,12,60,-0.016723014918146945,-0.08861950228554409,"{""both_correct"":406,""persistent_disagreement"":838,""target_led_correction"":567,""source_led_correction"":531}",diagnostic_1,500,near_to_far_disequilibrium,,,2342,6.285706487921988,10.0,0.005925382172672135,-0.010532361676382359,-0.004860291639945315,,False,"[0,0,0,0,2342]","[null,null,null,null,-9.013920462508165e-06]",2342,1,near,-0.05434352887326289,near_atm_iv_change,far
,,,,,,24,120,-0.017678644488356283,-0.08811949937811811,"{""both_correct"":406,""persistent_disagreement"":838,""target_led_correction"":567,""source_led_correction"":531}",diagnostic_1,500,near_to_far_disequilibrium,,,2342,6.285706487921988,10.0,0.005925382172672135,-0.010532361676382359,-0.004860291639945315,,False,"[0,0,0,0,2342]","[null,null,null,null,-9.013920462508165e-06]",2342,1,near,-0.05434352887326289,near_atm_iv_change,far
,,,,,,60,300,-0.022669867408577276,-0.0788902466138405,"{""both_correct"":406,""persistent_disagreement"":838,""target_led_correction"":567,""source_led_correction"":531}",diagnostic_1,500,near_to_far_disequilibrium,,,2342,6.285706487921988,10.0,0.005925382172672135,-0.010532361676382359,-0.004860291639945315,,False,"[0,0,0,0,2342]","[null,null,null,null,-9.013920462508165e-06]",2342,1,near,-0.05434352887326289,near_atm_iv_change,far
,,,,,,12,60,0.07445559987344387,-0.03910984885579681,"{""both_correct"":406,""persistent_disagreement"":838,""target_led_correction"":567,""source_led_correction"":531}",diagnostic_1,500,near_to_far_disequilibrium,,,2342,6.285706487921988,10.0,0.005925382172672135,-0.010532361676382359,-0.004860291639945315,,False,"[0,0,0,0,2342]","[null,null,null,null,-4.125105250502732e-06]",2342,1,near,0.01721107369259867,far_atm_iv_change,far
,,,,,,24,120,0.06649531820623038,-0.03452122290851143,"{""both_correct"":406,""persistent_disagreement"":838,""target_led_correction"":567,""source_led_correction"":531}",diagnostic_1,500,near_to_far_disequilibrium,,,2342,6.285706487921988,10.0,0.005925382172672135,-0.010532361676382359,-0.004860291639945315,,False,"[0,0,0,0,2342]","[null,null,null,null,-4.125105250502732e-06]",2342,1,near,0.01721107369259867,far_atm_iv_change,far
,,,,,,60,300,0.05872878966711799,-0.03027827523605136,"{""both_correct"":406,""persistent_disagreement"":838,""target_led_correction"":567,""source_led_correction"":531}",diagnostic_1,500,near_to_far_disequilibrium,,,2342,6.285706487921988,10.0,0.005925382172672135,-0.010532361676382359,-0.004860291639945315,,False,"[0,0,0,0,2342]","[null,null,null,null,-4.125105250502732e-06]",2342,1,near,0.01721107369259867,far_atm_iv_change,far
,,,,,,12,60,0.08896280087066062,0.016031098338773104,"{""both_correct"":406,""persistent_disagreement"":838,""target_led_correction"":567,""source_led_correction"":531}",diagnostic_1,500,near_to_far_disequilibrium,,,2342,6.285706487921988,10.0,0.005925382172672135,-0.010532361676382359,-0.004860291639945315,,False,"[0,0,0,0,2342]","[null,null,null,null,4.888815212005433e-06]",2342,1,near,0.0535147806469941,term_structure_iv_change,far
,,,,,,24,120,0.08731535980179271,0.017917973270103783,"{""both_correct"":406,""persistent_disagreement"":838,""target_led_correction"":567,""source_led_correction"":531}",diagnostic_1,500,near_to_far_disequilibrium,,,2342,6.285706487921988,10.0,0.005925382172672135,-0.010532361676382359,-0.004860291639945315,,False,"[0,0,0,0,2342]","[null,null,null,null,4.888815212005433e-06]",2342,1,near,0.0535147806469941,term_structure_iv_change,far
,,,,,,60,300,0.07817122004454896,0.021782874873774404,"{""both_correct"":406,""persistent_disagreement"":838,""target_led_correction"":567,""source_led_correction"":531}",diagnostic_1,500,near_to_far_disequilibrium,,,2342,6.285706487921988,10.0,0.005925382172672135,-0.010532361676382359,-0.004860291639945315,,False,"[0,0,0,0,2342]","[null,null,null,null,4.888815212005433e-06]",2342,1,near,0.0535147806469941,term_structure_iv_change,far
,,,,,,12,60,0.002750891842937051,-0.06713702978973471,"{""both_correct"":406,""persistent_disagreement"":838,""target_led_correction"":567,""source_led_correction"":531}",diagnostic_1,500,near_to_far_disequilibrium,,,2342,6.285706487921988,10.0,0.005925382172672135,-0.010532361676382359,-0.004860291639945315,,False,"[0,0,0,0,2342]","[null,null,null,null,-9.691442922075828e-06]",2342,1,near,-0.03168293743812677,atm_iv_convergence,far
