block_seconds,diagnostic,family,feature,maximum_spearman,median_spearman,minimum_spearman,positive_seeds,seeds,target
60,diagnostic_1,surprise,surprise_cosine_30s,0.10417767485092894,-0.01768025942744882,-0.09855355617417723,2,5,absolute_atm_iv_change
120,diagnostic_1,surprise,surprise_cosine_30s,0.10417767485092894,-0.01768025942744882,-0.09855355617417723,2,5,absolute_atm_iv_change
300,diagnostic_1,surprise,surprise_cosine_30s,0.10417767485092894,-0.01768025942744882,-0.09855355617417723,2,5,absolute_atm_iv_change
60,diagnostic_1,surprise,surprise_cosine_30s,0.16615853844869913,0.063769348737699,-0.023106508805663922,4,5,surface_displacement
120,diagnostic_1,surprise,surprise_cosine_30s,0.16615853844869913,0.063769348737699,-0.023106508805663922,4,5,surface_displacement
300,diagnostic_1,surprise,surprise_cosine_30s,0.16615853844869913,0.063769348737699,-0.023106508805663922,4,5,surface_displacement
60,diagnostic_1,surprise,surprise_cosine_5s,0.1039931584273474,-0.017828954135232986,-0.09397479562347967,2,5,absolute_atm_iv_change
120,diagnostic_1,surprise,surprise_cosine_5s,0.1039931584273474,-0.017828954135232986,-0.09397479562347967,2,5,absolute_atm_iv_change
300,diagnostic_1,surprise,surprise_cosine_5s,0.1039931584273474,-0.017828954135232986,-0.09397479562347967,2,5,absolute_atm_iv_change
60,diagnostic_1,surprise,surprise_cosine_5s,0.16847861868026245,0.06339109107375412,-0.020926809269573056,4,5,surface_displacement
120,diagnostic_1,surprise,surprise_cosine_5s,0.16847861868026245,0.06339109107375412,-0.020926809269573056,4,5,surface_displacement
300,diagnostic_1,surprise,surprise_cosine_5s,0.16847861868026245,0.06339109107375412,-0.020926809269573056,4,5,surface_displacement
60,diagnostic_1,surprise,surprise_cosine_60s,0.10031207812664229,-0.01785782944709077,-0.09612374499226141,2,5,absolute_atm_iv_change
120,diagnostic_1,surprise,surprise_cosine_60s,0.10031207812664229,-0.01785782944709077,-0.09612374499226141,2,5,absolute_atm_iv_change
300,diagnostic_1,surprise,surprise_cosine_60s,0.10031207812664229,-0.01785782944709077,-0.09612374499226141,2,5,absolute_atm_iv_change
60,diagnostic_1,surprise,surprise_cosine_60s,0.1667603356137126,0.056420392472653805,-0.020983044687884464,4,5,surface_displacement
120,diagnostic_1,surprise,surprise_cosine_60s,0.1667603356137126,0.056420392472653805,-0.020983044687884464,4,5,surface_displacement
300,diagnostic_1,surprise,surprise_cosine_60s,0.1667603356137126,0.056420392472653805,-0.020983044687884464,4,5,surface_displacement
60,diagnostic_1,surprise,surprise_l2_30s,0.09691041636391168,-0.02756194594202147,-0.10550498868993066,2,5,absolute_atm_iv_change
120,diagnostic_1,surprise,surprise_l2_30s,0.09691041636391168,-0.02756194594202147,-0.10550498868993066,2,5,absolute_atm_iv_change
300,diagnostic_1,surprise,surprise_l2_30s,0.09691041636391168,-0.02756194594202147,-0.10550498868993066,2,5,absolute_atm_iv_change
60,diagnostic_1,surprise,surprise_l2_30s,-0.10423219637562363,-0.13520931270622427,-0.17742761030412704,0,5,absolute_atm_straddle_change
120,diagnostic_1,surprise,surprise_l2_30s,-0.10423219637562363,-0.13520931270622427,-0.17742761030412704,0,5,absolute_atm_straddle_change
300,diagnostic_1,surprise,surprise_l2_30s,-0.10423219637562363,-0.13520931270622427,-0.17742761030412704,0,5,absolute_atm_straddle_change
60,diagnostic_1,surprise,surprise_l2_30s,0.03194582609191252,0.002220481332307399,-0.026961989210537468,3,5,absolute_futures_return
120,diagnostic_1,surprise,surprise_l2_30s,0.03194582609191252,0.002220481332307399,-0.026961989210537468,3,5,absolute_futures_return
300,diagnostic_1,surprise,surprise_l2_30s,0.03194582609191252,0.002220481332307399,-0.026961989210537468,3,5,absolute_futures_return
60,diagnostic_1,surprise,surprise_l2_30s,0.03303851564117762,-0.04033694513159821,-0.08274909247406825,2,5,near_atm_spread_change
120,diagnostic_1,surprise,surprise_l2_30s,0.03303851564117762,-0.04033694513159821,-0.08274909247406825,2,5,near_atm_spread_change
300,diagnostic_1,surprise,surprise_l2_30s,0.03303851564117762,-0.04033694513159821,-0.08274909247406825,2,5,near_atm_spread_change
60,diagnostic_1,surprise,surprise_l2_30s,0.0032150476843329444,-0.05360290544012729,-0.07500063204008517,1,5,parity_restoration
