diagnostic,mean_absolute_atm_iv_change,mean_absolute_atm_straddle_change,mean_absolute_futures_return,mean_near_atm_spread_change,mean_parity_restoration,mean_realized_futures_volatility,mean_surface_displacement,samples,seed,share,state,thresholds
diagnostic_1,0.004556439999542191,4.643422439560802e-05,8.820090832570606e-05,-4.641986389068839e-06,1.0158999591046882e-06,0.00011728090828966169,0.04453069088133148,1673,1,0.7143467122117848,cross_market_dislocation,"{""velocity"":{""low"":2.079847575868489,""median"":7.095046581072687,""high"":8.430729596050982},""surprise"":{""low"":5.345952349771543,""median"":5.753164182342439,""high"":6.66871554040501},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.0185565807311265,""median"":7.75971383393021,""high"":8.302542155301461}}"
diagnostic_1,0.0042126466830571495,4.661787075526787e-05,8.064038825757576e-05,-9.827396504326977e-06,-1.3048304247080742e-06,0.00010713112789065716,0.03985480133172372,495,1,0.21135781383432964,hidden_disturbance,"{""velocity"":{""low"":2.079847575868489,""median"":7.095046581072687,""high"":8.430729596050982},""surprise"":{""low"":5.345952349771543,""median"":5.753164182342439,""high"":6.66871554040501},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.0185565807311265,""median"":7.75971383393021,""high"":8.302542155301461}}"
diagnostic_1,0.005458164703229378,4.367802249289107e-05,8.727764261179957e-05,4.844548608559109e-05,-1.1899245451452029e-06,0.00010254223858737067,0.047606827200649585,174,1,0.07429547395388557,unclassified,"{""velocity"":{""low"":2.079847575868489,""median"":7.095046581072687,""high"":8.430729596050982},""surprise"":{""low"":5.345952349771543,""median"":5.753164182342439,""high"":6.66871554040501},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.0185565807311265,""median"":7.75971383393021,""high"":8.302542155301461}}"
diagnostic_2,0.005330958348245462,7.548325461150896e-05,9.375933294132255e-05,5.457758305377445e-06,3.3823760315034255e-07,0.0001285065837679904,0.043874510240610745,3547,1,0.7922716104534286,cross_market_dislocation,"{""velocity"":{""low"":2.079847575868489,""median"":7.095046581072687,""high"":8.430729596050982},""surprise"":{""low"":5.345952349771543,""median"":5.753164182342439,""high"":6.66871554040501},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.0185565807311265,""median"":7.75971383393021,""high"":8.302542155301461}}"
diagnostic_2,0.004799344458363273,4.849985919215462e-05,8.391563338462753e-05,-2.3714484849173312e-05,-1.4693169952917025e-06,0.00011456371234168968,0.04016077172529998,495,1,0.11056511056511056,hidden_disturbance,"{""velocity"":{""low"":2.079847575868489,""median"":7.095046581072687,""high"":8.430729596050982},""surprise"":{""low"":5.345952349771543,""median"":5.753164182342439,""high"":6.66871554040501},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.0185565807311265,""median"":7.75971383393021,""high"":8.302542155301461}}"
diagnostic_2,0.005848471152371373,7.566962733693507e-05,8.259696521978269e-05,-1.96834602968596e-05,-1.9008124184636829e-07,0.00011228640770414168,0.047213928997355124,435,1,0.0971632789814608,unclassified,"{""velocity"":{""low"":2.079847575868489,""median"":7.095046581072687,""high"":8.430729596050982},""surprise"":{""low"":5.345952349771543,""median"":5.753164182342439,""high"":6.66871554040501},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.0185565807311265,""median"":7.75971383393021,""high"":8.302542155301461}}"
diagnostic_1,0.00456200525782441,4.64708456703982e-05,8.685791859178207e-05,-2.516300689551117e-06,2.7409323467320285e-07,0.00011435104304757804,0.043947781054825164,2243,7,0.9577284372331341,cross_market_dislocation,"{""velocity"":{""low"":1.6798881886208923,""median"":7.001909773408228,""high"":8.407611380084365},""surprise"":{""low"":5.595720398187041,""median"":5.777336325871525,""high"":6.381291708819658},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":6.9032901000770135,""median"":7.646533962797994,""high"":8.23516046157346}}"
diagnostic_1,0.0035672092011996676,3.629960119724274e-05,6.920950753348214e-05,1.0523883975110949e-05,6.838419722043909e-07,0.0001100016186144201,0.03707826791026506,35,7,0.014944491887275833,hidden_disturbance,"{""velocity"":{""low"":1.6798881886208923,""median"":7.001909773408228,""high"":8.407611380084365},""surprise"":{""low"":5.595720398187041,""median"":5.777336325871525,""high"":6.381291708819658},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":6.9032901000770135,""median"":7.646533962797994,""high"":8.23516046157346}}"
diagnostic_1,0.004694918286986649,4.462010110728443e-05,8.466839790344238e-05,1.6791196685517207e-05,3.249017282769273e-06,0.00010537142471030679,0.04123356490237043,64,7,0.027327070879590094,unclassified,"{""velocity"":{""low"":1.6798881886208923,""median"":7.001909773408228,""high"":8.407611380084365},""surprise"":{""low"":5.595720398187041,""median"":5.777336325871525,""high"":6.381291708819658},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":6.9032901000770135,""median"":7.646533962797994,""high"":8.23516046157346}}"
diagnostic_2,0.005326679221669842,7.218232185146698e-05,9.184078026997134e-05,-2.448229979540712e-07,1.6769875632189797e-07,0.00012540231064433062,0.043837236700701894,4367,7,0.9754299754299754,cross_market_dislocation,"{""velocity"":{""low"":1.6798881886208923,""median"":7.001909773408228,""high"":8.407611380084365},""surprise"":{""low"":5.595720398187041,""median"":5.777336325871525,""high"":6.381291708819658},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":6.9032901000770135,""median"":7.646533962797994,""high"":8.23516046157346}}"
diagnostic_2,0.004375983995419962,4.223609964052836e-05,7.149025245949074e-05,-0.0001648996549192816,-1.376880391035229e-06,0.00010543366429680549,0.03635440231201836,27,7,0.006030824212642395,hidden_disturbance,"{""velocity"":{""low"":1.6798881886208923,""median"":7.001909773408228,""high"":8.407611380084365},""surprise"":{""low"":5.595720398187041,""median"":5.777336325871525,""high"":6.381291708819658},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":6.9032901000770135,""median"":7.646533962797994,""high"":8.23516046157346}}"
diagnostic_2,0.005408554102282926,0.00010002708533801229,8.473913353609752e-05,5.517019511548331e-05,-3.6799177445551235e-06,0.00013117925380354674,0.043635510926862936,83,7,0.018539200357382175,unclassified,"{""velocity"":{""low"":1.6798881886208923,""median"":7.001909773408228,""high"":8.407611380084365},""surprise"":{""low"":5.595720398187041,""median"":5.777336325871525,""high"":6.381291708819658},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":6.9032901000770135,""median"":7.646533962797994,""high"":8.23516046157346}}"
diagnostic_1,0.008369118803077273,5.206351892815696e-05,3.6027696397569445e-05,0.000350924558006227,1.5010789664100028e-06,9.822893921317507e-05,0.06786932128055506,9,23,0.003842869342442357,ambiguous_state,"{""velocity"":{""low"":2.5200003038408068,""median"":7.02992902454749,""high"":8.338216045531999},""surprise"":{""low"":5.735781156521191,""median"":5.8927654579641064,""high"":6.4832384006888235},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.035190264820201,""median"":7.864052455534329,""high"":8.545000428974165}}"
diagnostic_1,0.004515521999508233,4.6312372571671356e-05,8.680997033199741e-05,-4.9461265919518714e-06,3.5999865546332886e-07,0.00011416213323782601,0.0436061178578282,2309,23,0.9859094790777113,cross_market_dislocation,"{""velocity"":{""low"":2.5200003038408068,""median"":7.02992902454749,""high"":8.338216045531999},""surprise"":{""low"":5.735781156521191,""median"":5.8927654579641064,""high"":6.4832384006888235},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.035190264820201,""median"":7.864052455534329,""high"":8.545000428974165}}"
