base_plus_pca_surprise_skill,base_plus_surprise_skill,base_plus_velocity_skill,base_plus_velocity_surprise_skill,base_skill,block_rows,block_seconds,ci_high,ci_low,diagnostic,draws,feature,increment_beyond_velocity,paired_increment_beyond_velocity,paired_intervals,quintile_monotonic,quintile_samples,quintile_target_means,samples,seed,spearman,target
,,,,,12,60,0.10050325782131517,0.00045217383764085506,diagnostic_1,500,surprise_l2_5s,,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.043770948094186087]",2342,1,0.04931250799876288,surface_displacement
,,,,,24,120,0.10286405994679178,-0.005732281799954145,diagnostic_1,500,surprise_l2_5s,,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.043770948094186087]",2342,1,0.04931250799876288,surface_displacement
,,,,,60,300,0.10059339778002577,-0.018135200280887057,diagnostic_1,500,surprise_l2_5s,,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.043770948094186087]",2342,1,0.04931250799876288,surface_displacement
,,,,,12,60,0.01053069291958934,-0.08282810660834072,diagnostic_1,500,surprise_l2_5s,,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.0045507706599954255]",2342,1,-0.02940348704339894,absolute_atm_iv_change
,,,,,24,120,0.01948008168372175,-0.07635494807101405,diagnostic_1,500,surprise_l2_5s,,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.0045507706599954255]",2342,1,-0.02940348704339894,absolute_atm_iv_change
,,,,,60,300,0.019163284998844954,-0.08498941130569629,diagnostic_1,500,surprise_l2_5s,,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.0045507706599954255]",2342,1,-0.02940348704339894,absolute_atm_iv_change
,,,,,12,60,0.17271718053423535,2.9697342053059227e-05,diagnostic_1,500,surprise_l2_5s,,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.00011404065644264808]",2342,1,0.07842865614362428,realized_futures_volatility
,,,,,24,120,0.20098307433427343,-0.02226661942462416,diagnostic_1,500,surprise_l2_5s,,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.00011404065644264808]",2342,1,0.07842865614362428,realized_futures_volatility
,,,,,60,300,0.21040647274861335,-0.0077649538757925286,diagnostic_1,500,surprise_l2_5s,,,,False,"[0,0,0,0,2342]","[null,null,null,null,0.00011404065644264808]",2342,1,0.07842865614362428,realized_futures_volatility
,,,,,12,60,0.09280515710743034,-0.05248570136641954,diagnostic_1,500,surprise_l2_5s,,,,False,"[0,0,0,0,2342]","[null,null,null,null,8.653433886885542e-05]",2342,1,0.01689155405605412,absolute_futures_return
,,,,,24,120,0.1060503415549361,-0.05318459320891903,diagnostic_1,500,surprise_l2_5s,,,,False,"[0,0,0,0,2342]","[null,null,null,null,8.653433886885542e-05]",2342,1,0.01689155405605412,absolute_futures_return
,,,,,60,300,0.12632955946699043,-0.04657750388334582,diagnostic_1,500,surprise_l2_5s,,,,False,"[0,0,0,0,2342]","[null,null,null,null,8.653433886885542e-05]",2342,1,0.01689155405605412,absolute_futures_return
,,,,,12,60,0.003258165459272055,-0.06988665776324035,diagnostic_1,500,surprise_l2_5s,,,,False,"[0,0,0,0,2342]","[null,null,null,null,-1.7938044063455045e-06]",2342,1,-0.029113333140283214,near_atm_spread_change
,,,,,24,120,0.002691064239054307,-0.06127753412911978,diagnostic_1,500,surprise_l2_5s,,,,False,"[0,0,0,0,2342]","[null,null,null,null,-1.7938044063455045e-06]",2342,1,-0.029113333140283214,near_atm_spread_change
,,,,,60,300,-0.009768589658327177,-0.058020502283952724,diagnostic_1,500,surprise_l2_5s,,,,False,"[0,0,0,0,2342]","[null,null,null,null,-1.7938044063455045e-06]",2342,1,-0.029113333140283214,near_atm_spread_change
