diagnostic,trading_date,horizon,target,median_base_skill,median_jepa_skill,median_base_plus_jepa_skill,median_incremental_jepa_skill,incremental_range,positive_seeds,median_incremental_r2,median_auc,median_balanced_accuracy
diagnostic_1,2026-08-26,300s,absolute_atm_iv_change,0.12613029448532298,0.059718014333915104,0.17333161240752404,0.04720131792220106,"[0.029526730422783642, 0.057110747638337234]",5,0.1564259104426562,,
diagnostic_1,2026-08-26,300s,absolute_atm_straddle_change,-0.015599854638168598,0.08174286662843733,0.1826571936685536,0.1982570483067222,"[0.16687712540254518, 0.22698645432940956]",5,0.6758548480491602,,
diagnostic_1,2026-08-26,300s,absolute_futures_return,-3.503607585509127,-0.10848183493314356,-4.714183834466576,-1.210576248957449,"[-1.6633560258759266, -0.35277682219088025]",0,-7.501795641007067,,
diagnostic_1,2026-08-26,300s,near_atm_spread_change,-0.3788279593517878,-0.20703289384910728,-0.2228705887205651,0.15595737063122272,"[-18.703537289060915, 0.21421026981775038]",3,0.31382070012503815,0.7639013870602092,0.6029220461427223
diagnostic_1,2026-08-26,300s,realized_futures_volatility,-6.476770550293314,-0.4508959197875415,-11.61370851197389,-5.136937961680576,"[-19.21187961907516, 1.2544059944152481]",2,-80.03402728824602,,
diagnostic_1,2026-08-26,300s,signed_atm_iv_change,-0.005698170832968641,0.0015811252866181347,0.029545817869123803,0.035243988702092444,"[0.029085533241897554, 0.0505670189417845]",5,0.05490195244387397,0.6917270159827077,0.5939563907164608
diagnostic_1,2026-08-26,300s,signed_atm_straddle_change,-0.25511928833050757,0.006661887792348553,-0.0016376808759064332,0.25348160745460113,"[0.22499355573318014, 0.26114332356667513]",5,0.5652364835226651,0.5602813098589867,0.5423083815523813
diagnostic_1,2026-08-26,300s,signed_futures_return,-0.5997454387911463,-0.06888079032446015,-0.0655271013384604,0.5342183374526859,"[0.41227780533534997, 0.6027681369610397]",5,0.8758554296774539,0.6479648165479608,0.5998294760552656
diagnostic_1,2026-08-26,300s,surface_displacement,0.12437596772234016,0.0518386265869748,-0.03323521496655113,-0.1576111826888913,"[-0.8821253486508662, -0.04864680073531069]",0,-0.41447813799816147,,
diagnostic_1,2026-08-26,30s,absolute_atm_iv_change,0.1905127368780407,0.04262595351422638,0.1675556869001169,-0.022957049977923805,"[-0.02761120818046403, -0.008509881483517945]",0,-0.08191576954044888,,
diagnostic_1,2026-08-26,30s,absolute_atm_straddle_change,-0.07195381139005108,-0.06953832447289443,-0.145334477745249,-0.07338066635519791,"[-0.24554560694707184, 0.09946590622728446]",2,-0.13022611792365613,,
diagnostic_1,2026-08-26,30s,absolute_futures_return,-0.2291405430489759,-0.2756760402232372,-0.2962048359169538,-0.06706429286797788,"[-0.3273522905982771, 0.12063500312493858]",2,-0.12919951012192432,,
diagnostic_1,2026-08-26,30s,near_atm_spread_change,0.17346675500974795,-0.07263024711615107,0.16697688346078077,-0.006489871548967185,"[-0.49171623275206167, 0.001539512256320874]",1,0.0025923340098416014,0.7576317574495606,0.6774983042291736
diagnostic_1,2026-08-26,30s,realized_futures_volatility,-0.5974132107628012,-0.018715080809226237,-0.4110807620267931,0.18633244873600807,"[0.022065652347158515, 0.3872494474671373]",5,0.4068918434429589,,
diagnostic_1,2026-08-26,30s,signed_atm_iv_change,0.05134946476982827,0.004461802252212377,0.061674392465738026,0.010324927695909758,"[0.005765955313722593, 0.012246713724719638]",5,0.013457591597844987,0.6773345259250672,0.6129262904165946
diagnostic_1,2026-08-26,30s,signed_atm_straddle_change,-0.3342668936937361,0.0001155371094360147,-0.04599756514944775,0.28826932854428833,"[0.2684990579114719, 0.30307875907132753]",5,0.4263191932647672,0.5065285399251244,0.5019429004248739
diagnostic_1,2026-08-26,30s,signed_futures_return,-3.0120901910905884,-0.09469533105684813,-1.8098429883531608,1.2022472027374276,"[0.25140953813247835, 1.422981420009727]",5,4.548275987821012,0.4950754575888279,0.5009260632373403
