diagnostic,signal,target,median_incremental_mae_skill,positive_seeds,median_interaction_auc,median_interaction_balanced_accuracy
diagnostic_1,far_parity_delta_60s,signed_futures_return,0.2661074264165107,5,0.4941967229666838,0.5000283971691177
diagnostic_1,far_fit_error_delta_60s,signed_futures_return,0.1786241875853297,5,0.49282024907472555,0.4995795641350064
diagnostic_1,near_iv_delta_30s,signed_atm_iv_change,-0.0027552337306596007,1,0.6778203966314016,0.6142391667001886
diagnostic_1,near_curvature_delta_30s,signed_atm_iv_change,4.9749045231069786e-05,3,0.6779095255109726,0.6227509746992295
diagnostic_1,futures_microprice,signed_futures_return,-0.0008006653776088993,2,0.49329905689846115,0.5009639261294974
diagnostic_1,futures_depth_imbalance,signed_futures_return,-0.10422947740500212,1,0.4951385624090896,0.5004677644801898
diagnostic_1,futures_realized_volatility,signed_futures_return,0.11556418979500703,3,0.494080767859453,0.5006192160488179
diagnostic_2,far_parity_delta_60s,signed_futures_return,0.2349187642715126,5,0.5125918707060431,0.5022230958226953
diagnostic_2,far_fit_error_delta_60s,signed_futures_return,0.18492511508260925,5,0.5123597484030638,0.4997544272387269
diagnostic_2,near_iv_delta_30s,signed_atm_iv_change,-0.003329357432365642,2,0.7192298792544912,0.6553315040275471
diagnostic_2,near_curvature_delta_30s,signed_atm_iv_change,0.0025341124677449502,4,0.7194187969462487,0.6582540647643829
diagnostic_2,futures_microprice,signed_futures_return,0.0067588154527824145,3,0.5167103602766392,0.4986110363863428
diagnostic_2,futures_depth_imbalance,signed_futures_return,-0.12280083187226751,2,0.5146689475383216,0.5000068271265582
diagnostic_2,futures_realized_volatility,signed_futures_return,0.16469731476092003,3,0.510536192330141,0.49877590639785313
