diagnostic,lag,target,median_spearman,positive_seeds
diagnostic_1,5s,absolute_futures_return,0.0829094836148851,5
diagnostic_1,5s,realized_futures_volatility,0.09034276709317615,5
diagnostic_1,5s,absolute_atm_straddle_change,-0.013284392631860998,2
diagnostic_1,5s,absolute_atm_iv_change,0.12029760869921838,5
diagnostic_1,5s,surface_displacement,0.18639273591712024,5
diagnostic_1,30s,absolute_futures_return,0.09131315007075749,5
diagnostic_1,30s,realized_futures_volatility,0.07573592707519725,5
diagnostic_1,30s,absolute_atm_straddle_change,-0.03938601945659768,0
diagnostic_1,30s,absolute_atm_iv_change,0.13666303683788442,5
diagnostic_1,30s,surface_displacement,0.18753264706579123,5
diagnostic_1,60s,absolute_futures_return,0.11710233470687637,5
diagnostic_1,60s,realized_futures_volatility,0.08826651889186572,5
diagnostic_1,60s,absolute_atm_straddle_change,-0.009407720716351547,2
diagnostic_1,60s,absolute_atm_iv_change,0.12099858741869972,5
diagnostic_1,60s,surface_displacement,0.1707106099379974,5
diagnostic_2,5s,absolute_futures_return,0.004648035290161019,4
diagnostic_2,5s,realized_futures_volatility,0.011136844371905123,5
diagnostic_2,5s,absolute_atm_straddle_change,0.01946504706059061,5
diagnostic_2,5s,absolute_atm_iv_change,0.1538457590551892,5
diagnostic_2,5s,surface_displacement,0.1783458259104427,5
diagnostic_2,30s,absolute_futures_return,0.03048057074904848,5
diagnostic_2,30s,realized_futures_volatility,0.006781744927697275,4
diagnostic_2,30s,absolute_atm_straddle_change,0.057471221305476196,5
diagnostic_2,30s,absolute_atm_iv_change,0.13217602630848097,5
diagnostic_2,30s,surface_displacement,0.16034244676085507,5
diagnostic_2,60s,absolute_futures_return,0.037306782588139756,5
diagnostic_2,60s,realized_futures_volatility,0.02967645904777913,5
diagnostic_2,60s,absolute_atm_straddle_change,0.05242413951411491,5
diagnostic_2,60s,absolute_atm_iv_change,0.1331637526635033,5
diagnostic_2,60s,surface_displacement,0.18085417263639655,5
