walk_mode,cost_points,n,mean_net,total_net,win_rate
expanding,0.0,47,21.818085106383172,1025.4500000000091,0.5531914893617021
expanding,2.0,47,19.818085106383172,931.4500000000091,0.5531914893617021
expanding,4.0,47,17.818085106383172,837.4500000000091,0.5531914893617021
expanding,6.0,47,15.818085106383172,743.4500000000091,0.5531914893617021
expanding,8.0,47,13.818085106383176,649.4500000000093,0.5531914893617021
expanding,10.0,47,11.818085106383176,555.4500000000093,0.5531914893617021
rolling_252,0.0,52,32.59903846153845,1695.1499999999994,0.5769230769230769
rolling_252,2.0,52,30.59903846153845,1591.1499999999994,0.5769230769230769
rolling_252,4.0,52,28.59903846153845,1487.1499999999994,0.5769230769230769
rolling_252,6.0,52,26.59903846153845,1383.1499999999994,0.5769230769230769
rolling_252,8.0,52,24.59903846153845,1279.1499999999994,0.5769230769230769
rolling_252,10.0,52,22.59903846153845,1175.1499999999994,0.5769230769230769
