date,expiry,action,width,risk_rupees,net_rupees,equity_before,equity_after
2024-02-09,2024-02-15,trade,500,13383.499999999998,3968.2500000000487,100000.0,103968.25000000004
2024-03-14,2024-03-14,trade,400,16883.75,-4471.999999999953,103968.25000000004,99496.25000000009
2024-03-15,2024-03-21,trade,500,14998.749999999996,11560.249999999909,99496.25000000009,111056.5
2024-04-01,2024-04-04,trade,500,17023.500000000004,12408.49999999995,111056.5,123464.99999999996
2024-04-05,2024-04-10,trade,500,16831.75,-3249.999999999952,123464.99999999996,120215.0
2024-05-06,2024-05-09,trade,500,16367.0,-16757.0,120215.0,103458.0
2024-05-10,2024-05-16,trade,500,13757.249999999998,-10399.999999999904,103458.0,93058.0000000001
2024-05-31,2024-06-06,trade,500,6678.75,9243.000000000047,93058.0000000001,102301.00000000015
2024-07-19,2024-07-25,trade,500,11079.250000000004,-744.250000000003,102301.00000000015,101556.75000000015
2024-08-05,2024-08-08,trade,500,14966.25,4059.2500000000473,101556.75000000015,105616.00000000019
2024-11-06,2024-11-07,trade,500,16757.0,11751.999999999905,105616.00000000019,117368.00000000009
2024-11-14,2024-11-14,trade,500,20650.5,8833.499999999905,117368.00000000009,126201.5
2024-11-21,2024-11-21,trade,500,20133.75,11765.0,126201.5,137966.5
2024-11-25,2024-11-28,trade,500,14212.250000000002,-4367.9999999999545,137966.5,133598.50000000006
2024-11-29,2024-12-05,trade,500,12938.25,-13328.25,133598.50000000006,120270.25000000006
2024-12-06,2024-12-12,trade,500,10338.249999999996,11339.250000000004,120270.25000000006,131609.50000000006
2024-12-17,2024-12-19,trade,500,14459.25,-14849.25,131609.50000000006,116760.25000000006
2024-12-20,2024-12-26,trade,500,12408.499999999998,7370.9999999999545,116760.25000000006,124131.25000000001
2024-12-27,2025-01-02,trade,500,13256.750000000004,-5063.50000000005,124131.25000000001,119067.74999999997
2025-01-03,2025-01-09,trade,500,13191.75,-13581.75,119067.74999999997,105485.99999999997
2025-01-17,2025-01-23,trade,500,13347.749999999998,17702.75000000005,105485.99999999997,123188.75000000003
2025-01-27,2025-01-30,trade,500,13757.249999999998,-4264.0000000000455,123188.75000000003,118924.74999999999
2025-01-31,2025-02-06,trade,500,7761.000000000002,3025.750000000045,118924.74999999999,121950.50000000003
2025-02-07,2025-02-13,trade,500,12262.250000000002,-12652.250000000002,121950.50000000003,109298.25000000003
2025-02-14,2025-02-20,trade,500,13604.5,5911.749999999999,109298.25000000003,115210.00000000003
2025-02-24,2025-02-27,trade,500,16594.499999999996,6470.749999999908,115210.00000000003,121680.74999999994
2025-03-10,2025-03-13,trade,500,16640.0,1384.4999999999527,121680.74999999994,123065.2499999999
2025-03-25,2025-03-27,trade,500,16100.5,6327.749999999954,123065.2499999999,129392.99999999985
2025-04-11,2025-04-17,trade,500,11358.75,-11748.75,129392.99999999985,117644.24999999985
2025-04-21,2025-04-24,trade,500,15076.750000000004,-2144.9999999999554,117644.24999999985,115499.2499999999
2025-05-14,2025-05-15,trade,500,17910.749999999996,-10845.24999999995,115499.2499999999,104653.99999999994
2025-05-19,2025-05-22,trade,500,14049.750000000002,-8784.750000000002,104653.99999999994,95869.24999999994
2025-05-26,2025-05-29,trade,500,11999.000000000002,12366.249999999904,95869.24999999994,108235.49999999984
2025-05-30,2025-06-05,trade,500,12337.0,17244.499999999905,108235.49999999984,125479.99999999974
2025-06-09,2025-06-12,trade,500,15138.499999999998,1111.5000000000014,125479.99999999974,126591.49999999974
2025-06-13,2025-06-19,trade,500,13107.250000000002,9597.24999999995,126591.49999999974,136188.74999999968
2025-07-31,2025-07-31,trade,500,24521.25,3324.7500000000937,136188.74999999968,139513.49999999977
2025-08-04,2025-08-07,trade,500,16552.250000000004,14040.000000000093,139513.49999999977,153553.49999999985
2025-08-18,2025-08-21,trade,500,16844.75,7013.499999999953,153553.49999999985,160566.9999999998
2026-01-22,2026-01-27,trade,500,17286.750000000004,10539.749999999904,160566.9999999998,171106.7499999997
2026-01-28,2026-02-03,trade,500,10741.25,-2343.2499999999527,171106.7499999997,168763.49999999977
2026-02-04,2026-02-10,trade,500,13896.999999999996,4121.00000000005,168763.49999999977,172884.49999999983
2026-03-17,2026-03-17,trade,500,22373.0,-584.999999999952,172884.49999999983,172299.49999999988
2026-03-24,2026-03-24,trade,500,18310.5,3503.4999999999063,172299.49999999988,175802.9999999998
2026-03-25,2026-03-30,trade,500,9281.999999999996,-9671.999999999996,175802.9999999998,166130.9999999998
2026-04-01,2026-04-07,trade,500,8498.75,8664.499999999953,166130.9999999998,174795.49999999974
2026-04-08,2026-04-13,trade,500,10601.499999999995,16237.0000000001,174795.49999999974,191032.49999999983
2026-04-15,2026-04-21,trade,500,11755.250000000002,-1134.2499999999068,191032.49999999983,189898.2499999999
2026-04-22,2026-04-28,trade,500,10929.750000000002,-10247.250000000002,189898.2499999999,179650.9999999999
2026-04-29,2026-05-05,trade,500,13169.000000000002,15830.750000000093,179650.9999999999,195481.75
2026-05-06,2026-05-12,trade,500,12844.000000000002,-13234.000000000002,195481.75,182247.75
2026-05-13,2026-05-19,trade,500,11225.500000000004,7481.49999999995,182247.75,189729.24999999994
