date,expiry,year,execution,width,credit,payoff,pnl,maxloss
2023-01-23,2023-01-25,2023,0920_open,400,151.1,189.9491999999991,-38.849199999999115,248.9
2023-01-23,2023-01-25,2023,0920_open,500,154.0,189.9491999999991,-35.94919999999911,346.0
2023-01-24,2023-01-25,2023,0920_open,400,113.14999999999999,239.9491999999991,-126.79919999999912,286.85
2023-01-24,2023-01-25,2023,0920_open,500,114.05,239.9491999999991,-125.89919999999911,385.95
2023-01-25,2023-01-25,2023,0920_open,400,77.89999999999999,139.9491999999991,-62.04919999999912,322.1
2023-01-25,2023-01-25,2023,0920_open,500,77.99999999999999,139.9491999999991,-61.949199999999124,422.0
2023-01-27,2023-02-02,2023,0920_open,400,268.15,195.15039999999863,72.99960000000135,131.85000000000002
2023-01-27,2023-02-02,2023,0920_open,500,302.59999999999997,195.15039999999863,107.44960000000134,197.40000000000003
2023-01-30,2023-02-02,2023,0920_open,400,270.1,154.84960000000137,115.25039999999865,129.89999999999998
2023-01-30,2023-02-02,2023,0920_open,500,302.5,154.84960000000137,147.65039999999863,197.5
2023-01-31,2023-02-02,2023,0920_open,400,257.54999999999995,4.849600000001374,252.70039999999858,142.45000000000005
2023-01-31,2023-02-02,2023,0920_open,500,286.8499999999999,4.849600000001374,282.00039999999854,213.1500000000001
2023-02-01,2023-02-02,2023,0920_open,400,231.95,145.15039999999863,86.79960000000136,168.05
2023-02-01,2023-02-02,2023,0920_open,500,251.39999999999998,145.15039999999863,106.24960000000135,248.60000000000002
2023-02-02,2023-02-02,2023,0920_open,400,149.0,154.84960000000137,-5.849600000001374,251.0
2023-02-02,2023-02-02,2023,0920_open,500,152.65,154.84960000000137,-2.199600000001368,347.35
2023-02-03,2023-02-09,2023,0920_open,400,230.59999999999997,197.09960000000137,33.50039999999859,169.40000000000003
2023-02-03,2023-02-09,2023,0920_open,500,249.0,197.09960000000137,51.900399999998626,251.0
2023-02-06,2023-02-09,2023,0920_open,400,194.99999999999997,97.09960000000137,97.9003999999986,205.00000000000003
2023-02-06,2023-02-09,2023,0920_open,500,205.7,97.09960000000137,108.60039999999861,294.3
2023-02-07,2023-02-09,2023,0920_open,400,179.05,97.09960000000137,81.95039999999864,220.95
2023-02-07,2023-02-09,2023,0920_open,500,185.35,97.09960000000137,88.25039999999862,314.65
2023-02-08,2023-02-09,2023,0920_open,400,142.50000000000003,97.09960000000137,45.400399999998655,257.5
2023-02-08,2023-02-09,2023,0920_open,500,145.35000000000002,97.09960000000137,48.25039999999865,354.65
2023-02-09,2023-02-09,2023,0920_open,400,90.5,47.099600000001374,43.400399999998626,309.5
2023-02-09,2023-02-09,2023,0920_open,500,90.95,47.099600000001374,43.85039999999863,409.05
2023-02-10,2023-02-16,2023,0920_open,400,186.75,165.25,21.5,213.25
2023-02-10,2023-02-16,2023,0920_open,500,194.20000000000002,165.25,28.950000000000017,305.79999999999995
2023-02-13,2023-02-16,2023,0920_open,400,168.8,165.25,3.5500000000000114,231.2
2023-02-13,2023-02-16,2023,0920_open,500,173.35000000000002,165.25,8.100000000000023,326.65
2023-02-14,2023-02-16,2023,0920_open,400,154.45000000000002,215.25,-60.79999999999998,245.54999999999998
2023-02-14,2023-02-16,2023,0920_open,500,157.3,215.25,-57.94999999999999,342.7
2023-02-15,2023-02-16,2023,0920_open,400,121.3,115.25,6.049999999999997,278.7
2023-02-15,2023-02-16,2023,0920_open,500,122.45,115.25,7.200000000000003,377.55
2023-02-16,2023-02-16,2023,0920_open,400,68.35000000000001,84.75,-16.39999999999999,331.65
2023-02-16,2023-02-16,2023,0920_open,500,68.85000000000001,84.75,-15.899999999999991,431.15
2023-02-17,2023-02-23,2023,0920_open,400,183.50000000000003,400.0,-216.49999999999997,216.49999999999997
2023-02-17,2023-02-23,2023,0920_open,500,190.4,426.1991999999991,-235.7991999999991,309.6
2023-02-20,2023-02-23,2023,0920_open,400,164.85,400.0,-235.15,235.15
2023-02-20,2023-02-23,2023,0920_open,500,169.25,426.1991999999991,-256.9491999999991,330.75
2023-02-21,2023-02-23,2023,0920_open,400,153.0,326.1991999999991,-173.1991999999991,247.0
2023-02-21,2023-02-23,2023,0920_open,500,156.5,326.1991999999991,-169.6991999999991,343.5
2023-02-22,2023-02-23,2023,0920_open,400,119.7,226.1991999999991,-106.4991999999991,280.3
2023-02-22,2023-02-23,2023,0920_open,500,121.45,226.1991999999991,-104.7491999999991,378.55
2023-02-23,2023-02-23,2023,0920_open,400,91.7,26.19919999999911,65.5008000000009,308.3
2023-02-23,2023-02-23,2023,0920_open,500,92.2,26.19919999999911,66.0008000000009,407.8
2023-02-24,2023-03-02,2023,0920_open,400,193.14999999999998,281.3496000000014,-88.1996000000014,206.85000000000002
2023-02-24,2023-03-02,2023,0920_open,500,202.85,281.3496000000014,-78.49960000000138,297.15
2023-02-27,2023-03-02,2023,0920_open,400,181.75000000000003,31.349600000001374,150.40039999999865,218.24999999999997
2023-02-27,2023-03-02,2023,0920_open,500,188.85000000000002,31.349600000001374,157.50039999999865,311.15
2023-02-28,2023-03-02,2023,0920_open,400,160.75,81.34960000000137,79.40039999999863,239.25
2023-02-28,2023-03-02,2023,0920_open,500,165.7,81.34960000000137,84.35039999999861,334.3
2023-03-01,2023-03-02,2023,0920_open,400,125.05000000000001,81.34960000000137,43.70039999999864,274.95
2023-03-01,2023-03-02,2023,0920_open,500,126.75000000000001,81.34960000000137,45.40039999999864,373.25
2023-03-02,2023-03-02,2023,0920_open,400,80.25,131.34960000000137,-51.099600000001374,319.75
2023-03-02,2023-03-02,2023,0920_open,500,80.4,131.34960000000137,-50.94960000000137,419.6
2023-03-03,2023-03-09,2023,0920_open,400,160.3,132.8008000000009,27.49919999999912,239.7
2023-03-03,2023-03-09,2023,0920_open,500,164.40000000000003,132.8008000000009,31.599199999999144,335.59999999999997
2023-03-06,2023-03-09,2023,0920_open,400,131.75,167.1991999999991,-35.44919999999911,268.25
2023-03-06,2023-03-09,2023,0920_open,500,134.79999999999998,167.1991999999991,-32.39919999999913,365.20000000000005
2023-03-08,2023-03-09,2023,0920_open,400,119.7,17.19919999999911,102.5008000000009,280.3
2023-03-08,2023-03-09,2023,0920_open,500,121.25,17.19919999999911,104.05080000000089,378.75
