lookback,q_max,rr_quantile,n,mean,median,win_rate,total
200,0.65,0.5,16,15.13437500000036,53.775000000001086,0.5625,242.15000000000575
200,0.65,0.55,16,18.55625000000036,53.775000000001086,0.5625,296.9000000000058
200,0.65,0.6,17,24.320588235294544,46.55000000000069,0.5294117647058824,413.45000000000726
200,0.65,0.65,17,24.320588235294544,46.55000000000069,0.5294117647058824,413.45000000000726
200,0.65,0.7,17,24.320588235294544,46.55000000000069,0.5294117647058824,413.45000000000726
200,0.675,0.5,25,3.2599999999999705,17.100000000000023,0.52,81.49999999999926
200,0.675,0.55,26,8.93653846153846,31.774999999999693,0.5384615384615384,232.34999999999997
200,0.675,0.6,27,1.6055555555556342,-8.999999999999261,0.48148148148148145,43.350000000002126
200,0.675,0.65,30,18.08000000000014,31.825000000000358,0.5333333333333333,542.4000000000042
200,0.675,0.7,30,32.70666666666675,48.85000000000107,0.5666666666666667,981.2000000000025
200,0.7,0.5,45,7.29333333333327,43.90000000000006,0.5777777777777777,328.19999999999715
200,0.7,0.55,45,8.273333333333236,43.90000000000006,0.5777777777777777,372.2999999999956
200,0.7,0.6,47,16.69148936170208,46.55000000000069,0.5957446808510638,784.4999999999977
200,0.7,0.65,47,23.552127659574403,46.55000000000069,0.5957446808510638,1106.9499999999969
200,0.7,0.7,47,32.03510638297868,51.15000000000144,0.6170212765957447,1505.649999999998
200,0.725,0.5,64,9.085156249999853,45.17499999999971,0.578125,581.4499999999906
200,0.725,0.55,66,13.15075757575742,48.85000000000107,0.6060606060606061,867.9499999999898
200,0.725,0.6,66,14.402272727272537,45.22500000000038,0.6060606060606061,950.5499999999874
200,0.725,0.65,70,9.752142857142754,33.44999999999963,0.5714285714285714,682.6499999999928
200,0.725,0.7,70,10.872142857142755,33.44999999999963,0.5714285714285714,761.0499999999929
200,0.75,0.5,83,-1.2554216867471413,43.90000000000006,0.5662650602409639,-104.20000000001272
200,0.75,0.55,87,-1.666091954023172,43.90000000000006,0.5632183908045977,-144.95000000001596
200,0.75,0.6,87,0.2913793103446253,46.44999999999936,0.5632183908045977,25.3499999999824
200,0.75,0.65,90,-0.56055555555572,33.44999999999963,0.5444444444444444,-50.450000000014796
200,0.75,0.7,92,-2.786413043478398,26.174999999999656,0.532608695652174,-256.3500000000126
252,0.65,0.5,20,43.19750000000015,62.200000000001125,0.7,863.950000000003
252,0.65,0.55,21,51.96904761904772,63.40000000000077,0.7142857142857143,1091.3500000000022
252,0.65,0.6,22,46.07500000000016,69.10000000000076,0.6818181818181818,1013.6500000000035
252,0.65,0.65,22,34.55000000000023,69.10000000000076,0.6363636363636364,760.1000000000051
252,0.65,0.7,23,44.86086956521767,74.80000000000075,0.6521739130434783,1031.8000000000063
252,0.675,0.5,29,28.500000000000025,53.899999999998556,0.6206896551724138,826.5000000000007
252,0.675,0.55,30,24.391666666666644,52.525,0.6,731.7499999999993
252,0.675,0.6,32,22.03125000000005,52.525,0.59375,705.0000000000016
252,0.675,0.65,33,11.325757575757708,51.15000000000144,0.5454545454545454,373.7500000000044
252,0.675,0.7,33,30.836363636363814,74.80000000000075,0.6060606060606061,1017.6000000000058
252,0.7,0.5,50,31.88799999999997,57.47499999999965,0.62,1594.3999999999985
252,0.7,0.55,51,22.66176470588236,51.15000000000144,0.5686274509803921,1155.7500000000002
252,0.7,0.6,52,26.59903846153845,52.525,0.5769230769230769,1383.1499999999994
252,0.7,0.65,55,16.597272727272742,46.55000000000069,0.5454545454545454,912.8500000000008
252,0.7,0.7,55,28.303636363636407,53.899999999998556,0.5818181818181818,1556.7000000000023
252,0.725,0.5,71,-3.007746478873301,46.44999999999936,0.5633802816901409,-213.5500000000044
252,0.725,0.55,71,-0.7830985915493593,46.44999999999936,0.5633802816901409,-55.60000000000451
252,0.725,0.6,71,-4.086619718309951,43.90000000000006,0.5352112676056338,-290.1500000000065
252,0.725,0.65,76,-4.573026315789545,26.849999999999625,0.5263157894736842,-347.55000000000547
252,0.725,0.7,78,-12.066666666666737,13.399999999999636,0.5128205128205128,-941.2000000000055
252,0.75,0.5,87,-1.6183908045978608,36.8500000000015,0.5632183908045977,-140.80000000001388
252,0.75,0.55,87,6.2994252873561605,45.29999999999998,0.5862068965517241,548.049999999986
252,0.75,0.6,91,-0.6961538461539769,36.8500000000015,0.5494505494505495,-63.3500000000119
252,0.75,0.65,92,-0.15217391304359998,32.09999999999888,0.5434782608695652,-14.000000000011198
252,0.75,0.7,93,-6.480107526881834,9.69999999999925,0.5161290322580645,-602.6500000000106
300,0.65,0.5,20,13.227500000000285,50.224999999999625,0.55,264.5500000000057
300,0.65,0.55,20,13.227500000000285,50.224999999999625,0.55,264.5500000000057
300,0.65,0.6,20,13.227500000000285,50.224999999999625,0.55,264.5500000000057
300,0.65,0.65,20,1.1075000000002517,18.775000000000716,0.5,22.150000000005036
300,0.65,0.7,20,5.095000000000252,18.775000000000716,0.5,101.90000000000504
300,0.675,0.5,29,16.75000000000002,53.899999999998556,0.5517241379310345,485.7500000000006
300,0.675,0.55,30,19.311666666666717,58.649999999999665,0.5666666666666667,579.3500000000015
300,0.675,0.6,30,19.311666666666717,58.649999999999665,0.5666666666666667,579.3500000000015
300,0.675,0.65,32,22.389062500000108,58.649999999999665,0.5625,716.4500000000035
300,0.675,0.7,32,22.389062500000108,58.649999999999665,0.5625,716.4500000000035
300,0.7,0.5,47,18.00319148936179,51.15000000000144,0.574468085106383,846.1500000000042
300,0.7,0.55,49,18.30204081632663,51.15000000000144,0.5714285714285714,896.800000000005
300,0.7,0.6,49,19.854081632653163,51.15000000000144,0.5714285714285714,972.8500000000049
300,0.7,0.65,50,15.703000000000154,48.85000000000107,0.56,785.1500000000077
300,0.7,0.7,50,10.85500000000014,33.92499999999998,0.54,542.750000000007
300,0.725,0.5,71,10.541549295774598,46.55000000000069,0.5774647887323944,748.4499999999964
300,0.725,0.55,72,11.665972222222173,48.85000000000107,0.5833333333333334,839.9499999999964
300,0.725,0.6,78,1.8070512820512958,45.22500000000038,0.5512820512820513,140.95000000000107
300,0.725,0.65,80,-12.188749999999988,7.574999999999989,0.5125,-975.099999999999
300,0.725,0.7,81,-7.959876543209862,9.69999999999925,0.5185185185185185,-644.7499999999989
300,0.75,0.5,90,-3.834444444444609,16.974999999998914,0.5333333333333333,-345.1000000000148
300,0.75,0.55,90,-7.788333333333498,7.574999999999989,0.5111111111111111,-700.9500000000148
300,0.75,0.6,91,-2.9560439560440934,22.049999999999272,0.5274725274725275,-269.0000000000125
300,0.75,0.65,95,-4.907894736842195,22.049999999999272,0.5263157894736842,-466.2500000000085
300,0.75,0.7,98,-8.555612244898022,7.574999999999989,0.5102040816326531,-838.4500000000062
378,0.65,0.5,21,24.095238095238233,61.00000000000148,0.6190476190476191,506.0000000000029
378,0.65,0.55,22,23.331818181818388,57.45000000000002,0.6363636363636364,513.3000000000045
378,0.65,0.6,22,12.313636363636531,50.224999999999625,0.5909090909090909,270.9000000000037
378,0.65,0.65,22,15.938636363636531,50.224999999999625,0.5909090909090909,350.6500000000037
378,0.65,0.7,22,15.938636363636531,50.224999999999625,0.5909090909090909,350.6500000000037
378,0.675,0.5,29,21.867241379310247,53.899999999998556,0.5517241379310345,634.1499999999971
378,0.675,0.55,30,26.059999999999878,58.649999999999665,0.5666666666666667,781.7999999999963
378,0.675,0.6,31,27.63225806451603,63.40000000000077,0.5806451612903226,856.599999999997
378,0.675,0.65,32,26.223437499999953,58.649999999999665,0.5625,839.1499999999985
378,0.675,0.7,32,40.15625,69.10000000000076,0.59375,1285.0
378,0.7,0.5,44,2.6329545454546506,32.59999999999967,0.5454545454545454,115.85000000000463
378,0.7,0.55,46,15.070652173913137,45.22500000000038,0.5652173913043478,693.2500000000043
378,0.7,0.6,46,15.070652173913137,45.22500000000038,0.5652173913043478,693.2500000000043
378,0.7,0.65,46,26.49239130434796,50.224999999999625,0.5869565217391305,1218.6500000000062
378,0.7,0.7,46,27.083695652174065,50.224999999999625,0.5869565217391305,1245.850000000007
378,0.725,0.5,74,-7.580405405405454,15.874999999999261,0.527027027027027,-560.9500000000036
378,0.725,0.55,78,-9.732692307692332,15.874999999999261,0.5256410256410257,-759.1500000000019
378,0.725,0.6,80,-14.158750000000003,7.574999999999989,0.5125,-1132.7000000000003
378,0.725,0.65,82,-16.41707317073171,-1.7749999999992667,0.5,-1346.2000000000005
378,0.725,0.7,84,-8.581547619047617,15.874999999999261,0.5238095238095238,-720.8499999999999
378,0.75,0.5,89,-7.023033707865297,11.899999999998556,0.5280898876404494,-625.0500000000114
378,0.75,0.55,91,-7.631318681318819,9.69999999999925,0.5164835164835165,-694.4500000000126
378,0.75,0.6,94,-7.667021276595864,15.874999999999261,0.5212765957446809,-720.7000000000112
378,0.75,0.65,96,-13.671354166666738,7.574999999999989,0.5104166666666666,-1312.4500000000069
378,0.75,0.7,99,-11.711616161616226,5.450000000000728,0.5050505050505051,-1159.4500000000064
504,0.65,0.5,17,14.514705882353104,46.55000000000069,0.5294117647058824,246.75000000000276
504,0.65,0.55,17,14.514705882353104,46.55000000000069,0.5294117647058824,246.75000000000276
504,0.65,0.6,18,14.113888888889123,26.925000000001063,0.5555555555555556,254.05000000000422
504,0.65,0.65,18,0.6472222222224168,-0.8499999999989143,0.5,11.650000000003502
504,0.65,0.7,18,5.077777777777972,-0.8499999999989143,0.5,91.4000000000035
504,0.675,0.5,24,9.960416666666731,31.825000000000358,0.5416666666666666,239.05000000000155
504,0.675,0.55,25,15.468000000000028,46.55000000000069,0.56,386.7000000000007
504,0.675,0.6,25,15.468000000000028,46.55000000000069,0.56,386.7000000000007
504,0.675,0.65,25,15.468000000000028,46.55000000000069,0.56,386.7000000000007
504,0.675,0.7,27,22.87777777777788,46.55000000000069,0.5555555555555556,617.7000000000028
504,0.7,0.5,44,7.887500000000145,50.224999999999625,0.5227272727272727,347.0500000000064
504,0.7,0.55,46,8.645652173913197,50.224999999999625,0.5217391304347826,397.7000000000071
504,0.7,0.6,47,11.40000000000018,53.899999999998556,0.5319148936170213,535.8000000000085
504,0.7,0.65,47,13.092553191489541,53.899999999998556,0.5319148936170213,615.3500000000084
504,0.7,0.7,49,11.650000000000126,46.55000000000069,0.5102040816326531,570.8500000000062
504,0.725,0.5,76,-3.2677631578946973,46.50000000000003,0.5657894736842105,-248.349999999997
504,0.725,0.55,78,-4.674999999999931,45.22500000000038,0.5512820512820513,-364.64999999999463
504,0.725,0.6,80,-12.680624999999932,15.874999999999261,0.525,-1014.4499999999946
504,0.725,0.65,81,-4.892592592592519,36.59999999999923,0.5432098765432098,-396.29999999999404
504,0.725,0.7,83,-4.908433734939704,36.59999999999923,0.5421686746987951,-407.39999999999543
504,0.75,0.5,89,-5.379213483146167,22.049999999999272,0.5393258426966292,-478.75000000000887
504,0.75,0.55,90,-1.5844444444445835,32.97499999999967,0.5333333333333333,-142.60000000001253
504,0.75,0.6,92,-5.026086956521851,15.874999999999261,0.5217391304347826,-462.4000000000103
504,0.75,0.65,93,-6.194086021505437,22.049999999999272,0.5268817204301075,-576.0500000000056
504,0.75,0.7,95,-5.408421052631593,22.049999999999272,0.5263157894736842,-513.8000000000013
