session,signal_ns,prediction,direction,latency_ms,ttl_seconds,queue_model,status,entry_quote_age_ms,queue_ahead_units,fee_bps,entry_price,exit_price,gross_bps,fill_delay_ms,adverse_mid_move_1s_bps,mark_from_fill_1s_bps,adverse_mid_move_5s_bps,mark_from_fill_5s_bps
2026-08-26,1787726410000000000,7.039056084658956e-05,1,0,1,touch,unfilled,382.539008,0.0,0.0,,,,,,,,
2026-08-26,1787726410000000000,7.039056084658956e-05,1,0,1,touch,unfilled,382.539008,0.0,0.2,,,,,,,,
2026-08-26,1787726410000000000,7.039056084658956e-05,1,0,1,touch,unfilled,382.539008,0.0,0.5,,,,,,,,
2026-08-26,1787726410000000000,7.039056084658956e-05,1,0,1,touch,unfilled,382.539008,0.0,1.0,,,,,,,,
2026-08-26,1787726720000000000,5.9679704981514005e-05,1,0,1,touch,unfilled,254.164992,0.0,0.0,,,,,,,,
2026-08-26,1787726720000000000,5.9679704981514005e-05,1,0,1,touch,unfilled,254.164992,0.0,0.2,,,,,,,,
2026-08-26,1787726720000000000,5.9679704981514005e-05,1,0,1,touch,unfilled,254.164992,0.0,0.5,,,,,,,,
2026-08-26,1787726720000000000,5.9679704981514005e-05,1,0,1,touch,unfilled,254.164992,0.0,1.0,,,,,,,,
2026-08-26,1787726890000000000,8.845380054942241e-05,1,0,1,touch,unfilled,987.708928,0.0,0.0,,,,,,,,
2026-08-26,1787726890000000000,8.845380054942241e-05,1,0,1,touch,unfilled,987.708928,0.0,0.2,,,,,,,,
2026-08-26,1787726890000000000,8.845380054942241e-05,1,0,1,touch,unfilled,987.708928,0.0,0.5,,,,,,,,
2026-08-26,1787726890000000000,8.845380054942241e-05,1,0,1,touch,unfilled,987.708928,0.0,1.0,,,,,,,,
2026-08-26,1787727840000000000,6.86429607444643e-05,1,0,1,touch,unfilled,417.888,0.0,0.0,,,,,,,,
2026-08-26,1787727840000000000,6.86429607444643e-05,1,0,1,touch,unfilled,417.888,0.0,0.2,,,,,,,,
2026-08-26,1787727840000000000,6.86429607444643e-05,1,0,1,touch,unfilled,417.888,0.0,0.5,,,,,,,,
2026-08-26,1787727840000000000,6.86429607444643e-05,1,0,1,touch,unfilled,417.888,0.0,1.0,,,,,,,,
2026-08-26,1787727875000000000,6.397782559625332e-05,1,0,1,touch,unfilled,225.843968,0.0,0.0,,,,,,,,
2026-08-26,1787727875000000000,6.397782559625332e-05,1,0,1,touch,unfilled,225.843968,0.0,0.2,,,,,,,,
2026-08-26,1787727875000000000,6.397782559625332e-05,1,0,1,touch,unfilled,225.843968,0.0,0.5,,,,,,,,
2026-08-26,1787727875000000000,6.397782559625332e-05,1,0,1,touch,unfilled,225.843968,0.0,1.0,,,,,,,,
2026-08-26,1787727985000000000,6.968176936595612e-05,1,0,1,touch,unfilled,1083.2,0.0,0.0,,,,,,,,
2026-08-26,1787727985000000000,6.968176936595612e-05,1,0,1,touch,unfilled,1083.2,0.0,0.2,,,,,,,,
2026-08-26,1787727985000000000,6.968176936595612e-05,1,0,1,touch,unfilled,1083.2,0.0,0.5,,,,,,,,
2026-08-26,1787727985000000000,6.968176936595612e-05,1,0,1,touch,unfilled,1083.2,0.0,1.0,,,,,,,,
2026-08-26,1787729075000000000,6.186985008189747e-05,1,0,1,touch,unfilled,172.913152,0.0,0.0,,,,,,,,
2026-08-26,1787729075000000000,6.186985008189747e-05,1,0,1,touch,unfilled,172.913152,0.0,0.2,,,,,,,,
2026-08-26,1787729075000000000,6.186985008189747e-05,1,0,1,touch,unfilled,172.913152,0.0,0.5,,,,,,,,
2026-08-26,1787729075000000000,6.186985008189747e-05,1,0,1,touch,unfilled,172.913152,0.0,1.0,,,,,,,,
2026-08-26,1787729720000000000,6.964803351059601e-05,1,0,1,touch,unfilled,515.623936,0.0,0.0,,,,,,,,
2026-08-26,1787729720000000000,6.964803351059601e-05,1,0,1,touch,unfilled,515.623936,0.0,0.2,,,,,,,,
