q,sample,n,total_pnl,mean_pnl,median_pnl,win_rate,mean_R,median_R
0.8,2023,7,329.2008,47.028686,60.3008,0.714286,0.150262,0.145830
0.8,2024,44,902.85,20.519318,36.25,0.568182,0.112706,0.085916
0.8,2025,28,478.35,17.083929,1.475,0.5,0.122636,0.021103
0.8,min_2023_25,,,,,,0.112706,
0.8,2026_pre,15,-125.05,-8.336667,-17.7,0.466667,-0.043295,-0.070546
0.8,2026_fresh,7,-47.55,-6.792857,74.15,0.714286,-0.032412,0.216525
0.825,2023,10,544.402,54.4402,48.3252,0.9,0.161746,0.126799
0.825,2024,51,975.3,19.123529,41.95,0.588235,0.117003,0.113693
0.825,2025,36,1525.7,42.380556,50.5,0.611111,0.189871,0.118320
0.825,min_2023_25,,,,,,0.117003,
0.825,2026_pre,16,406.25,25.390625,33.275,0.625,0.159197,0.113594
0.825,2026_fresh,9,79.6,8.844444,74.15,0.777778,0.016208,0.216525
0.85,2023,14,118.002,8.428714,34.2254,0.642857,0.029818,0.081684
0.85,2024,53,723.85,13.657547,33.35,0.566038,0.095615,0.098407
0.85,2025,42,1560.2,37.147619,47.625,0.642857,0.164299,0.113046
0.85,min_2023_25,,,,,,0.029818,
0.85,2026_pre,17,270.15,15.891176,28.9,0.588235,0.090437,0.071340
0.85,2026_fresh,10,430.1,43.01,25.225,0.7,0.155557,0.082993
